Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2025,1,1,3,2.2,2.8,2.8,27.1,32.3,24.8,-,-
Jurong (West),2025,1,2,19.6,16,16,16,27.5,32.8,25.3,-,-
Jurong (West),2025,1,3,0,0,0,0,28.1,34.3,25.3,-,-
Jurong (West),2025,1,4,0,0,0,0,28.1,32.4,25.6,-,-
Jurong (West),2025,1,5,0,0,0,0,28.2,34.3,25.4,-,-
Jurong (West),2025,1,6,0.2,0.2,0.2,0.2,28.2,32.2,26.3,-,-
Jurong (West),2025,1,7,4.6,3.8,4.4,4.6,27.5,31.2,25.2,-,-
Jurong (West),2025,1,8,0.2,0.2,0.2,0.2,28.3,33.7,25.4,-,-
Jurong (West),2025,1,9,0,0,0,0,28.2,33.3,25.3,-,-
Jurong (West),2025,1,10,92.4,12.8,19.6,25.2,24.2,26.7,22.2,-,-
Jurong (West),2025,1,11,93.4,13.8,18.2,28.4,23.4,24.9,22.1,-,-
Jurong (West),2025,1,12,38,9.6,16.2,20,25.3,28,24.3,-,-
Jurong (West),2025,1,13,-,-,-,-,-,-,-,-,-
Jurong (West),2025,1,14,21.2,12.8,17,17.4,-,-,-,-,-
Jurong (West),2025,1,15,0,0,0,1.4,-,-,-,-,-
Jurong (West),2025,1,16,0.4,0.2,0.2,0.2,27.3,-,-,-,-
Jurong (West),2025,1,17,4,1.8,1.8,2,26.3,29.3,24.7,-,-
Jurong (West),2025,1,18,5.6,1.2,1.6,1.6,25.8,29,24.3,-,-
Jurong (West),2025,1,19,11.4,6.4,6.8,9,25.3,26.7,24.4,-,-
Jurong (West),2025,1,20,0,0,0,0,26.6,30.2,24.3,-,-
Jurong (West),2025,1,21,0,0,0,0,25.8,27.7,24.9,-,-
Jurong (West),2025,1,22,0.4,0.2,0.4,0.4,26.1,28.5,24.6,-,-
Jurong (West),2025,1,23,1.2,1,1,1,26.1,28.5,24.6,-,-
Jurong (West),2025,1,24,0.2,0.2,0.2,0.2,25.8,28.1,24.9,-,-
Jurong (West),2025,1,25,0.2,0.2,0.2,0.2,26.8,32,24.5,-,-
Jurong (West),2025,1,26,10.8,6.2,8.2,9.6,26.5,31.4,24.4,-,-
Jurong (West),2025,1,27,3.2,0.6,1.2,1.6,25.7,30.7,24,-,-
Jurong (West),2025,1,28,4.8,3.6,4,4.4,26,29.1,23.7,-,-
Jurong (West),2025,1,29,0,0,0,0,26,28.8,24.1,-,-
Jurong (West),2025,1,30,0,0,0,0,26.8,31.5,24,-,-
Jurong (West),2025,1,31,0,0,0,0,26.8,31.9,23.5,-,-
