Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Clementi,2024,4,1,     0.8,     0.6,     0.6,     0.6,    28.9,    33.7,    26.7,     3.7,    25.9
Clementi,2024,4,2,     0.0,     0.0,     0.0,     0.0,    30.3,    34.5,    27.4,     4.4,    21.7
Clementi,2024,4,3,    14.2,     8.0,     8.0,     8.0,    29.4,    34.0,    26.0,     3.0,    32.8
Clementi,2024,4,4,     2.8,     2.4,     2.8,     2.8,    28.6,    35.5,    25.8,     3.8,    21.3
Clementi,2024,4,5,     0.0,     0.0,     0.0,     0.0,    29.6,    35.3,    26.4,     4.6,    22.0
Clementi,2024,4,6,     0.0,     0.0,     0.0,     0.0,    30.0,    34.9,    26.7,     5.6,    24.1
Clementi,2024,4,7,     0.0,     0.0,     0.0,     0.0,    29.8,    35.6,    27.5,     5.7,    30.6
Clementi,2024,4,8,     8.8,     4.2,     7.0,     8.8,    28.9,    33.5,    24.6,     3.3,    37.0
Clementi,2024,4,9,     0.0,     0.0,     0.0,     0.0,    30.1,    35.2,    26.8,     4.5,    24.1
Clementi,2024,4,10,     0.2,     0.2,     0.2,     0.2,    28.4,    32.2,    27.3,     3.7,    23.7
Clementi,2024,4,11,    11.4,     4.2,     7.0,     8.2,    28.0,    31.6,    25.4,     5.0,    33.9
Clementi,2024,4,12,    37.6,    14.0,    18.4,    23.6,    26.0,    28.4,    24.2,     4.1,    22.6
Clementi,2024,4,13,     0.0,     0.0,     0.0,     0.0,    28.7,    34.1,    25.4,     5.0,    30.6
Clementi,2024,4,14,     2.4,     2.0,     2.2,     2.2,    28.3,    32.7,    27.0,     4.0,    24.8
Clementi,2024,4,15,     0.0,     0.0,     0.0,     0.0,    28.9,    33.1,    26.9,     4.3,    19.8
Clementi,2024,4,16,     0.4,     0.4,     0.4,     0.4,    27.5,    28.4,    26.7,     3.2,    20.6
Clementi,2024,4,17,    37.0,    28.4,    36.4,    36.8,    28.2,    32.9,    24.4,     3.7,    36.7
Clementi,2024,4,18,     0.0,     0.0,     0.0,     0.0,    29.4,    33.7,    26.4,     4.0,    23.3
Clementi,2024,4,19,     7.6,     7.0,     7.4,     7.6,    29.2,    32.8,    25.8,     3.1,    19.4
Clementi,2024,4,20,     1.4,     1.0,     1.2,     1.4,    28.3,    32.7,    25.5,     3.7,    29.8
Clementi,2024,4,21,     0.2,     0.2,     0.2,     0.2,    29.2,    35.0,    26.8,     3.4,    29.1
Clementi,2024,4,22,     1.2,     1.2,     1.2,     1.2,    29.3,    33.1,    27.2,     3.5,    20.6
Clementi,2024,4,23,     3.0,     2.2,     2.2,     2.2,    29.6,    34.1,    27.3,     3.2,    16.9
Clementi,2024,4,24,     0.8,     0.8,     0.8,     0.8,    29.6,    33.1,    27.6,     4.6,    27.8
Clementi,2024,4,25,    11.8,    10.8,    11.2,    11.8,    29.7,    35.4,    26.2,     3.2,    27.0
Clementi,2024,4,26,     0.0,     0.0,     0.0,     0.0,    29.9,    35.3,    27.2,     3.2,    23.3
Clementi,2024,4,27,    20.6,    17.6,    19.2,    19.8,    29.9,    35.1,    26.1,     3.4,    19.8
Clementi,2024,4,28,     1.6,     1.6,     1.6,     1.6,    29.1,    33.1,    27.6,     5.1,    33.9
Clementi,2024,4,29,     0.0,     0.0,     0.0,     0.0,    30.3,    34.6,    27.0,     3.7,    25.2
Clementi,2024,4,30,     0.0,-,     0.0,     0.0,    30.5,    33.5,    28.1,     4.9,    22.4
