Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2024,6,1,4,1.6,2,2.2,27.3,29.8,25.3,-,-
Jurong (West),2024,6,2,5.4,2.8,2.8,2.8,26.9,30.5,24.7,-,-
Jurong (West),2024,6,3,0.2,0.2,0.2,0.2,28.3,34.2,25.5,-,-
Jurong (West),2024,6,4,1.4,1.2,1.2,1.2,28.6,33.6,25.6,-,-
Jurong (West),2024,6,5,0,0,0,0,30.1,34.1,26,-,-
Jurong (West),2024,6,6,0.2,0.2,0.2,0.2,28.9,34.3,25.7,-,-
Jurong (West),2024,6,7,3.6,2,3.2,3.6,28.6,33.7,26.4,-,-
Jurong (West),2024,6,8,0,0,0,0,29.1,32.2,26.9,-,-
Jurong (West),2024,6,9,0,0,0,0,29.5,32.9,26.9,-,-
Jurong (West),2024,6,10,1.2,1.2,1.2,1.2,29.5,33.7,27.7,-,-
Jurong (West),2024,6,11,0.2,0.2,0.2,0.2,29.1,35.2,25.9,-,-
Jurong (West),2024,6,12,3,2.6,2.8,2.8,28.5,32.2,25.6,-,-
Jurong (West),2024,6,13,0.2,0.2,0.2,0.2,29.5,34.3,26.3,-,-
Jurong (West),2024,6,14,0,0,0.2,0.2,28.7,33.1,26.8,-,-
Jurong (West),2024,6,15,28.2,25.4,28,28.2,28.8,31.6,24.9,-,-
Jurong (West),2024,6,16,14.4,13.6,13.8,14,28.6,32.5,23.9,-,-
Jurong (West),2024,6,17,1.2,1.2,1.2,1.2,28,32.8,25.2,-,-
Jurong (West),2024,6,18,0,0,0,0,28.6,32.5,26.1,-,-
Jurong (West),2024,6,19,9.4,8.6,9.4,9.4,28.7,30.3,25.5,-,-
Jurong (West),2024,6,20,2.4,2.4,2.4,2.4,28.7,32.8,24.7,-,-
Jurong (West),2024,6,21,16,4,4.8,9,27.4,30.3,23.2,-,-
Jurong (West),2024,6,22,38.8,10.6,19.8,32.8,26.4,28.8,23.4,-,-
Jurong (West),2024,6,23,0,0,0,0,28.8,32.2,25.8,-,-
Jurong (West),2024,6,24,0,0,0,0,29.9,33,28,-,-
Jurong (West),2024,6,25,7.4,5.2,5.2,5.2,29,33,26.4,-,-
Jurong (West),2024,6,26,18.4,10,12.8,18.4,29.2,34.9,24,-,-
Jurong (West),2024,6,27,7.6,7.6,7.6,7.6,28.2,31.9,24.6,-,-
Jurong (West),2024,6,28,0,0,0,0,28.8,35.3,26.9,-,-
Jurong (West),2024,6,29,29,15.6,18.4,19.2,28.2,31.6,24.2,-,-
Jurong (West),2024,6,30,105,34.6,48.6,77.8,26,29.1,23.8,-,-
