Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Clementi,2024,3,1,     4.0,     2.6,     2.6,     3.6,    28.4,    33.1,    26.7,     6.0,    28.2
Clementi,2024,3,2,     2.6,     1.8,     1.8,     2.2,    27.7,    33.1,    26.3,     5.9,    29.8
Clementi,2024,3,3,    11.2,     4.0,     6.8,     6.8,    26.6,    30.4,    24.7,     6.0,    28.9
Clementi,2024,3,4,    44.8,    29.6,    31.0,    31.2,    26.9,    31.5,    24.2,     5.2,    37.8
Clementi,2024,3,5,    14.4,    19.4,    31.8,    34.0,    26.2,    31.5,    24.4,     3.1,    18.3
Clementi,2024,3,6,    14.8,    12.6,    14.6,    14.8,    27.1,    33.6,    24.5,     3.8,    24.4
Clementi,2024,3,7,    19.6,    16.0,    17.2,    17.2,    27.7,    34.2,    25.3,     3.1,    21.7
Clementi,2024,3,8,     4.6,     1.8,     1.8,     2.8,    27.3,    31.0,    25.9,     3.8,    17.2
Clementi,2024,3,9,     0.0,     0.0,     0.0,     0.0,    28.5,    33.4,    25.6,     5.3,    23.0
Clementi,2024,3,10,     8.0,     8.0,     8.0,     8.0,    27.5,    31.4,    25.9,     4.7,    27.0
Clementi,2024,3,11,     0.0,     0.0,     0.0,     0.0,    28.6,    33.0,    25.7,     6.1,    29.4
Clementi,2024,3,12,     0.0,     0.0,     0.0,     0.0,    29.2,    34.3,    26.8,     6.5,    27.4
Clementi,2024,3,13,     0.0,     0.0,     0.0,     0.0,    28.8,    33.8,    25.5,     7.5,    34.3
Clementi,2024,3,14,     0.0,     0.0,     0.0,     0.0,    28.7,    34.8,    25.5,     6.2,    25.6
Clementi,2024,3,15,     0.0,     0.0,     0.0,     0.0,    28.4,    32.3,    25.4,     5.8,    27.4
Clementi,2024,3,16,     0.0,     0.0,     0.0,     0.0,    28.7,    34.2,    25.7,     6.5,    25.6
Clementi,2024,3,17,     5.2,     5.0,     5.2,     5.2,    28.9,    34.5,    26.0,     6.4,    32.0
Clementi,2024,3,18,     0.0,     0.0,     0.0,     0.0,    29.4,    35.2,    25.7,     7.1,    27.4
Clementi,2024,3,19,     0.0,     0.0,     0.0,     0.0,    28.8,    33.9,    26.8,     7.1,    30.2
Clementi,2024,3,20,     0.0,     0.0,     0.0,     0.0,    28.8,    32.3,    26.5,     8.5,    33.9
Clementi,2024,3,21,     4.4,     4.4,     4.4,     4.4,    28.0,    32.2,    25.6,     6.9,    37.8
Clementi,2024,3,22,     0.0,     0.0,     0.0,     0.0,    28.8,    34.0,    26.1,     6.9,    27.0
Clementi,2024,3,23,     0.0,     0.0,     0.0,     0.0,    29.4,    35.2,    26.1,     5.4,    20.2
Clementi,2024,3,24,     0.0,     0.0,     0.0,     0.0,    29.3,    34.9,    26.5,     6.5,    25.9
Clementi,2024,3,25,     0.0,     0.0,     0.0,     0.0,    29.7,    35.0,    26.4,     5.8,    24.1
Clementi,2024,3,26,     0.0,     0.0,     0.0,     0.0,    29.6,    34.4,    26.9,     7.1,    34.3
Clementi,2024,3,27,     0.0,     0.0,     0.0,     0.0,    29.8,    34.9,    26.7,     6.5,    30.2
Clementi,2024,3,28,    23.4,    15.2,    23.0,    23.4,    29.1,    33.2,    25.8,     5.2,    29.1
Clementi,2024,3,29,     1.2,     1.2,     1.2,     1.2,    29.8,    33.7,    25.6,     5.3,    29.4
Clementi,2024,3,30,     0.0,     0.0,     0.0,     0.0,    30.0,    34.5,    27.6,     4.3,    29.8
Clementi,2024,3,31,     6.0,     5.0,     5.0,     5.0,    29.0,    34.2,    25.9,     3.4,    20.2
