Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tai Seng,2024,8,1,     0.0,     0.0,     0.0,     0.0,    29.4,    33.0,    26.9,     8.0,    42.0
Tai Seng,2024,8,2,     0.0,     0.0,     0.0,     0.0,    29.7,    33.1,    28.2,     7.6,    28.9
Tai Seng,2024,8,3,     3.4,     3.2,     3.4,     3.4,    30.1,    34.2,    27.6,     7.6,    32.4
Tai Seng,2024,8,4,    18.8,     8.2,     9.2,    10.6,    27.8,    30.8,    25.0,     8.9,    34.6
Tai Seng,2024,8,5,     0.0,     0.0,     0.0,     0.0,    29.0,    32.5,    26.4,     7.1,    25.2
Tai Seng,2024,8,6,     0.0,     0.0,     0.0,     0.0,    29.7,    33.3,    27.6,     7.7,    33.9
Tai Seng,2024,8,7,     0.8,     0.8,     0.8,     0.8,    29.4,    32.1,    26.7,     7.2,    35.0
Tai Seng,2024,8,8,     2.0,     1.2,     1.8,     2.0,    29.9,    33.4,    26.9,     7.4,    29.4
Tai Seng,2024,8,9,     8.2,     4.4,     4.6,     4.6,    29.1,    33.5,    26.4,     7.6,    32.4
Tai Seng,2024,8,10,     0.8,     0.6,     0.6,     0.8,    28.1,    30.6,    25.8,     7.3,    31.3
Tai Seng,2024,8,11,     0.6,     0.2,     0.2,     0.4,    28.9,    31.8,    25.9,     7.7,    30.9
Tai Seng,2024,8,12,     2.8,     2.8,     2.8,     2.8,    29.5,    32.7,    27.8,     7.7,    30.6
Tai Seng,2024,8,13,     0.0,     0.0,     0.0,     0.0,    30.1,    33.4,    28.3,     8.1,    33.2
Tai Seng,2024,8,14,    17.4,     8.8,     9.2,    12.0,    27.7,    30.5,    25.2,     8.3,    33.5
Tai Seng,2024,8,15,     0.0,     0.0,     0.0,     0.0,    28.9,    32.3,    26.9,     7.2,    32.0
Tai Seng,2024,8,16,     2.8,     2.2,     2.6,     2.6,    29.0,    31.9,    26.0,     7.7,    31.3
Tai Seng,2024,8,17,     0.8,     0.6,     0.6,     0.6,    29.1,    32.3,    26.9,     7.6,    28.2
Tai Seng,2024,8,18,     0.0,     0.0,     0.0,     0.0,    29.4,    33.4,    27.7,     7.5,    26.3
Tai Seng,2024,8,19,     0.2,     0.2,     0.2,     0.2,    29.9,    32.9,    27.6,     7.4,    27.4
Tai Seng,2024,8,20,     0.2,     0.2,     0.2,     0.2,    28.7,    33.0,    26.7,     7.6,    42.8
Tai Seng,2024,8,21,     0.0,     0.0,     0.0,     0.0,    28.8,    31.7,    26.6,     8.2,    34.3
Tai Seng,2024,8,22,     0.0,     0.0,     0.0,     0.0,    29.9,    33.7,    27.9,     7.2,    26.7
Tai Seng,2024,8,23,     0.0,     0.0,     0.0,     0.0,    29.6,    33.2,    28.1,     8.1,    29.4
Tai Seng,2024,8,24,     2.4,     1.2,     1.4,     1.6,    27.4,    29.7,    25.5,     9.0,    35.0
Tai Seng,2024,8,25,     2.2,     2.2,     2.2,     2.2,    28.0,    30.9,    24.9,     7.3,    41.5
Tai Seng,2024,8,26,     0.0,     0.0,     0.0,     0.0,    29.5,    32.5,    27.8,     7.6,    28.9
Tai Seng,2024,8,27,     1.4,     1.2,     1.4,     1.4,    29.2,    32.2,    25.5,     8.5,    61.9
Tai Seng,2024,8,28,     2.0,     1.2,     1.8,     1.8,    28.8,    33.9,    24.4,     9.5,    34.3
Tai Seng,2024,8,29,     0.0,     0.0,     0.0,     0.0,    29.4,    31.9,    27.1,     8.1,    36.7
Tai Seng,2024,8,30,     0.0,     0.0,     0.0,     0.0,    29.8,    33.7,    28.1,     7.8,    30.9
Tai Seng,2024,8,31,     0.0,     0.0,     0.0,     0.0,    29.9,    34.3,    28.1,     8.6,    37.8
