Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2024,3,1,0,0,0,0,-,-,-,9.8,33.9
Marina Barrage,2024,3,2,1,0.6,0.6,0.6,-,-,-,10.6,42
Marina Barrage,2024,3,3,9.2,2.8,3.2,3.4,-,-,-,9.6,32.8
Marina Barrage,2024,3,4,57.6,40.2,49.6,50.8,-,-,-,8.7,38.9
Marina Barrage,2024,3,5,10.6,7.2,28,57.6,-,-,-,4.6,21.7
Marina Barrage,2024,3,6,0,0,0,0.2,-,-,-,4.9,21.3
Marina Barrage,2024,3,7,60,44,57.4,59.8,-,-,-,4.6,32
Marina Barrage,2024,3,8,2.6,1,1.8,2.6,-,-,-,5.4,20.9
Marina Barrage,2024,3,9,0,0,0,0,-,-,-,7,24.1
Marina Barrage,2024,3,10,0,0,0,0,-,-,-,8.6,30.9
Marina Barrage,2024,3,11,0,0,0,0,-,-,-,10.5,32
Marina Barrage,2024,3,12,0,0,0,0,-,-,-,12.3,35.2
Marina Barrage,2024,3,13,0,0,0,0,-,-,-,12.7,35.9
Marina Barrage,2024,3,14,0,0,0,0,-,-,-,12.2,33.9
Marina Barrage,2024,3,15,0,0,0,0,-,-,-,8.9,28.9
Marina Barrage,2024,3,16,0,0,0,0,-,-,-,9,30.6
Marina Barrage,2024,3,17,0.8,0.8,0.8,0.8,-,-,-,11.6,39.6
Marina Barrage,2024,3,18,0,0,0,0,-,-,-,10.9,31.7
Marina Barrage,2024,3,19,5.6,5.6,5.6,5.6,-,-,-,9.9,33.9
Marina Barrage,2024,3,20,9.4,8.6,9.2,9.2,-,-,-,10.8,38.9
Marina Barrage,2024,3,21,0,0,0,0,-,-,-,10,35
Marina Barrage,2024,3,22,0,0,0,0,-,-,-,9.3,28.5
Marina Barrage,2024,3,23,0,0,0,0,-,-,-,7.3,23
Marina Barrage,2024,3,24,0,0,0,0,-,-,-,7.6,25.6
Marina Barrage,2024,3,25,0,0,0,0,-,-,-,7.3,23
Marina Barrage,2024,3,26,0,0,0,0,-,-,-,9.8,34.6
Marina Barrage,2024,3,27,0,0,0,0,-,-,-,8.8,28.5
Marina Barrage,2024,3,28,6.6,4.2,6.6,6.6,-,-,-,6.7,22.4
Marina Barrage,2024,3,29,0,0,0,0,-,-,-,6.1,24.8
Marina Barrage,2024,3,30,0,0,0,0,-,-,-,5.5,25.2
Marina Barrage,2024,3,31,0,0,0,0,-,-,-,4.9,25.6
