Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2024,8,1,     0.0,     0.0,     0.0,     0.0,    28.9,    33.6,    25.0,     6.3,    36.7
Admiralty,2024,8,2,     0.0,     0.0,     0.0,     0.0,    29.3,    33.5,    26.6,     7.8,    33.9
Admiralty,2024,8,3,     0.0,     0.0,     0.0,     0.0,    29.5,    34.3,    26.6,     7.1,    35.0
Admiralty,2024,8,4,    58.0,    37.4,    48.6,    50.0,    26.7,    30.4,    23.7,     6.7,    47.8
Admiralty,2024,8,5,     2.0,     1.4,     2.0,     2.0,    28.1,    33.0,    25.4,     6.0,    36.3
Admiralty,2024,8,6,     0.0,     0.0,     0.0,     0.0,    29.2,    33.8,    25.1,     7.8,    29.4
Admiralty,2024,8,7,     0.0,     0.0,     0.0,     0.0,    29.2,    32.6,    26.4,     7.3,    34.3
Admiralty,2024,8,8,     0.0,     0.0,     0.0,     0.0,    29.7,    32.7,    27.1,     8.2,    29.4
Admiralty,2024,8,9,-,-,-,-,    27.7,    31.5,    25.5,     7.0,    34.3
Admiralty,2024,8,10,-,-,-,-,    27.1,    30.2,    25.2,     5.3,    30.9
Admiralty,2024,8,11,-,-,-,-,    28.6,    31.8,    25.5,     5.6,    24.1
Admiralty,2024,8,12,-,-,-,-,    28.5,    33.1,    24.5,     6.4,    45.0
Admiralty,2024,8,13,-,-,-,-,    29.4,    32.4,    27.6,    10.6,    34.6
Admiralty,2024,8,14,-,-,-,-,    27.3,    29.8,    24.9,     5.5,    33.2
Admiralty,2024,8,15,     0.2,-,-,-,    28.2,    33.0,    25.4,     6.7,    35.0
Admiralty,2024,8,16,     0.2,     0.2,     0.2,     0.2,    28.5,    32.4,    25.9,-,    40.0
Admiralty,2024,8,17,     7.6,     6.8,     6.8,     7.2,    28.6,-,-,-,-
Admiralty,2024,8,18,     0.0,     0.0,     0.0,     0.0,    29.3,-,-,-,-
Admiralty,2024,8,19,     1.0,     0.8,     0.8,     1.0,    29.1,    34.6,    27.0,     5.6,    33.2
Admiralty,2024,8,20,     9.4,     6.2,     7.2,     8.0,    27.1,    32.7,    24.6,     6.0,    28.9
Admiralty,2024,8,21,     0.0,     0.0,     0.0,     0.0,    27.9,    32.3,    24.9,-,    32.8
Admiralty,2024,8,22,     0.0,     0.0,     0.0,     0.0,    29.5,    34.2,    26.5,-,    28.5
Admiralty,2024,8,23,     2.6,     2.0,     2.4,     2.6,    28.0,    33.9,    24.0,     6.9,    45.0
Admiralty,2024,8,24,     0.8,     0.4,     0.6,     0.8,    26.8,    29.6,    24.3,     7.2,    37.8
Admiralty,2024,8,25,     4.2,     3.0,     3.0,     4.0,    27.2,-,-,-,-
Admiralty,2024,8,26,     0.0,     0.0,     0.0,     0.0,    28.9,    32.6,    25.8,-,    27.8
Admiralty,2024,8,27,    30.8,    18.6,    26.2,    30.6,    27.6,    31.0,    23.6,-,    32.0
Admiralty,2024,8,28,    51.4,    35.0,    45.0,    51.2,    27.9,-,-,-,-
Admiralty,2024,8,29,     0.0,     0.0,     0.0,     0.0,    28.7,    32.1,    25.6,-,    29.1
Admiralty,2024,8,30,     0.0,     0.0,     0.0,     0.0,    29.4,    33.1,    26.5,-,    29.8
Admiralty,2024,8,31,     0.0,     0.0,     0.0,     0.0,    29.3,    34.1,    26.8,-,    36.7
