Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tai Seng,2024,6,1,    14.8,     8.0,     8.8,    10.6,    27.7,    30.0,    25.3,     8.3,    30.9
Tai Seng,2024,6,2,     2.2,     0.6,     1.2,     1.6,    27.9,    31.4,    25.6,     6.7,    20.2
Tai Seng,2024,6,3,     0.0,     0.0,     0.0,     0.0,    29.2,    33.2,    26.6,     7.4,    32.4
Tai Seng,2024,6,4,     0.0,     0.0,     0.0,     0.0,    29.9,    33.7,    27.6,     7.0,    25.2
Tai Seng,2024,6,5,     1.2,     1.2,     1.2,     1.2,    30.5,    34.0,    28.6,     7.2,    23.7
Tai Seng,2024,6,6,    21.6,    10.0,    14.4,    21.6,    29.4,    34.6,    25.6,     8.0,    31.7
Tai Seng,2024,6,7,     2.6,     2.6,     2.6,     2.6,    29.1,    32.5,    26.8,     6.9,    29.8
Tai Seng,2024,6,8,     0.0,     0.0,     0.0,     0.0,    29.4,    32.3,    28.3,     7.9,    23.0
Tai Seng,2024,6,9,    27.6,    21.2,    27.6,    27.6,    29.5,    32.1,    24.4,     7.4,    30.2
Tai Seng,2024,6,10,     4.6,     2.4,     2.6,     2.6,    29.4,    31.5,    27.1,     7.6,    32.4
Tai Seng,2024,6,11,     0.0,     0.0,     0.0,     0.0,    30.1,    34.5,    27.5,     7.9,    32.0
Tai Seng,2024,6,12,    13.2,    11.6,    13.2,    13.2,    29.3,    31.8,    24.4,     7.6,    33.2
Tai Seng,2024,6,13,     0.0,     0.0,     0.0,     0.0,    30.3,    34.6,    27.7,     7.0,    24.8
Tai Seng,2024,6,14,     2.6,     2.2,     2.6,     2.6,    29.1,    32.5,    26.7,     8.5,    33.2
Tai Seng,2024,6,15,     6.0,     5.8,     5.8,     5.8,    29.3,    31.9,    25.1,     7.4,    28.5
Tai Seng,2024,6,16,    11.0,     8.4,     9.6,    10.2,    28.5,    32.6,    23.3,     8.1,    35.6
Tai Seng,2024,6,17,     0.0,     0.0,     0.0,     0.0,    29.5,    34.1,    26.9,     9.2,    37.4
Tai Seng,2024,6,18,     9.2,     5.6,     6.2,     6.2,    29.1,    32.4,    25.9,     7.3,    34.3
Tai Seng,2024,6,19,     0.0,     0.0,     0.0,     0.0,    29.3,    30.6,    27.7,     8.0,    26.7
Tai Seng,2024,6,20,     4.2,     2.2,     2.2,     2.2,    29.7,    33.2,    26.9,     7.9,    32.4
Tai Seng,2024,6,21,    43.6,    18.6,    19.6,    27.8,    27.7,    30.2,    23.1,     9.2,    33.5
Tai Seng,2024,6,22,    47.6,    14.4,    27.0,    39.6,    26.7,    28.6,    23.3,     8.6,    44.3
Tai Seng,2024,6,23,     0.0,     0.0,     0.0,     0.0,    28.9,    32.5,    26.3,     7.4,    24.8
Tai Seng,2024,6,24,     0.0,     0.0,     0.0,     0.0,    30.0,    33.1,    28.4,     7.7,    30.2
Tai Seng,2024,6,25,     0.0,     0.0,     0.0,     0.0,    30.2,    34.1,    28.5,     7.1,    28.5
Tai Seng,2024,6,26,     0.0,     0.0,     0.0,     0.0,    30.5,    34.6,    28.1,     8.3,    25.9
Tai Seng,2024,6,27,     0.0,     0.0,     0.0,     0.0,    29.3,    32.4,    27.8,     9.0,    23.7
Tai Seng,2024,6,28,     1.6,     1.6,     1.6,     1.6,    29.6,    33.2,    27.9,     9.2,    27.0
Tai Seng,2024,6,29,     4.2,     3.6,     3.8,     4.2,    29.2,    32.0,    26.0,     7.4,    28.2
Tai Seng,2024,6,30,    27.4,    13.8,    17.8,    23.2,    27.0,    29.2,    23.9,     8.0,    35.0
