Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2024,7,1,     0.2,     0.2,     0.2,     0.2,    27.3,    33.4,    25.1,     5.5,    29.1
Admiralty,2024,7,2,     1.0,     0.8,     1.0,     1.0,    28.6,    31.9,    26.0,     4.7,    31.3
Admiralty,2024,7,3,     0.0,     0.0,     0.0,     0.0,    28.8,    33.0,    26.9,     6.4,    40.7
Admiralty,2024,7,4,     0.0,     0.0,     0.0,     0.0,    29.7,    34.3,    27.2,     7.5,    30.9
Admiralty,2024,7,5,     1.6,     1.6,     1.6,     1.6,    28.5,    32.7,    23.7,     5.5,    51.9
Admiralty,2024,7,6,     0.4,     0.4,     0.4,     0.4,    28.5,    33.3,    26.3,     5.9,    22.0
Admiralty,2024,7,7,     0.8,     0.8,     0.8,     0.8,    28.2,    32.5,    25.4,     6.4,    27.4
Admiralty,2024,7,8,     4.0,     1.4,     2.6,     3.2,    26.6,    29.5,    24.8,     6.8,    34.3
Admiralty,2024,7,9,     1.2,     0.4,     0.6,     0.8,    27.8,    31.1,    26.3,     5.3,    33.5
Admiralty,2024,7,10,     0.2,     0.2,     0.2,     0.2,    28.4,    32.3,    26.5,     6.1,    32.0
Admiralty,2024,7,11,     0.0,     0.0,     0.0,     0.0,    29.1,    32.0,    27.0,     8.2,    38.5
Admiralty,2024,7,12,    22.0,    19.4,    20.6,    20.8,    27.4,    31.9,    24.0,     5.8,    46.9
Admiralty,2024,7,13,     0.0,     0.0,     0.0,     0.0,    28.7,    33.0,    25.3,     6.0,    25.6
Admiralty,2024,7,14,     0.0,     0.0,     0.0,     0.0,    28.8,    31.1,    27.4,     6.1,    24.4
Admiralty,2024,7,15,     0.0,     0.0,     0.0,     0.0,    29.4,    32.7,    27.5,     7.3,    28.9
Admiralty,2024,7,16,     0.6,     0.6,     0.6,     0.6,    29.1,    32.3,    27.4,     7.3,    33.5
Admiralty,2024,7,17,     0.0,     0.0,     0.0,     0.0,    29.3,    32.1,    27.4,     6.7,    30.6
Admiralty,2024,7,18,     0.0,     0.0,     0.0,     0.0,    29.8,    33.6,    27.6,     7.8,    29.1
Admiralty,2024,7,19,     0.0,     0.0,     0.0,     0.0,    30.0,    33.3,    28.0,     8.9,    31.7
Admiralty,2024,7,20,     0.0,     0.0,     0.0,     0.0,    29.9,    33.5,    27.8,     7.6,    30.2
Admiralty,2024,7,21,     0.0,     0.0,     0.0,     0.0,    29.8,    32.7,    28.2,     7.9,    31.7
Admiralty,2024,7,22,     0.0,     0.0,     0.0,     0.0,    30.2,    33.4,    28.2,     7.8,    30.6
Admiralty,2024,7,23,     0.0,     0.0,     0.0,     0.0,    30.3,    34.4,    28.2,     7.4,    28.9
Admiralty,2024,7,24,     0.0,     0.0,     0.0,     0.0,    30.0,    33.3,    27.9,     7.4,    35.6
Admiralty,2024,7,25,     0.0,     0.0,     0.0,     0.0,    29.9,    33.4,    28.0,     9.5,    32.8
Admiralty,2024,7,26,     0.0,     0.0,     0.0,     0.0,    29.9,    33.3,    28.0,     9.5,    32.8
Admiralty,2024,7,27,     0.0,     0.0,     0.0,     0.0,    30.2,    34.4,    27.9,     9.3,    39.6
Admiralty,2024,7,28,     0.0,     0.0,     0.0,     0.0,    30.3,    34.0,    28.1,    11.0,    35.6
Admiralty,2024,7,29,     0.0,     0.0,     0.0,     0.0,    30.2,    33.6,    28.2,    10.3,    35.0
Admiralty,2024,7,30,     0.0,     0.0,     0.0,     0.0,    30.1,    35.2,    27.9,    10.1,    33.2
Admiralty,2024,7,31,    15.8,     9.4,    14.8,    15.8,    28.4,    33.4,    24.6,     9.3,    34.3
