Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2025,1,1,    11.2,    10.8,    11.0,    11.0,    27.4,    31.9,    24.8,     8.3,    40.4
Pasir Panjang,2025,1,2,    21.6,    17.2,    21.6,    21.6,    27.8,    32.2,    25.2,     9.1,    27.8
Pasir Panjang,2025,1,3,     8.4,     7.0,     7.6,     7.8,    27.8,    32.5,    25.4,     9.5,    61.5
Pasir Panjang,2025,1,4,     0.0,     0.0,     0.0,     0.0,    28.3,    31.4,    26.3,    11.4,    39.6
Pasir Panjang,2025,1,5,    70.2,    40.2,    61.2,    70.2,    27.9,    33.2,    24.4,    12.7,    44.6
Pasir Panjang,2025,1,6,     0.0,     0.0,     0.0,     0.0,    28.3,    32.2,    26.3,    15.2,    40.7
Pasir Panjang,2025,1,7,     0.8,     0.8,     0.8,     0.8,    28.1,    31.2,    26.1,    12.3,    38.2
Pasir Panjang,2025,1,8,     0.0,     0.0,     0.0,     0.0,    28.5,    32.9,    26.3,    12.1,    35.6
Pasir Panjang,2025,1,9,     0.0,     0.0,     0.0,     0.0,    28.7,    33.3,    26.5,    15.6,    34.6
Pasir Panjang,2025,1,10,    92.8,    12.8,    20.6,    27.6,    24.8,    27.9,    22.5,    14.3,    36.3
Pasir Panjang,2025,1,11,    75.6,    10.0,    16.0,    19.6,    23.8,    25.5,    22.4,    15.3,    40.0
Pasir Panjang,2025,1,12,    42.0,     8.6,    14.0,    15.4,    25.5,    27.3,    24.3,    13.9,    44.6
Pasir Panjang,2025,1,13,    55.4,    21.0,    31.8,    40.2,    24.9,    26.6,    22.4,    12.6,    35.6
Pasir Panjang,2025,1,14,     5.8,     2.8,     3.0,     3.0,    25.6,    28.5,    24.5,    12.0,    36.3
Pasir Panjang,2025,1,15,     2.6,     1.8,     2.4,     2.6,    25.9,    27.8,    24.8,     8.6,    26.3
Pasir Panjang,2025,1,16,     0.6,     0.4,     0.4,     0.4,    27.4,    30.8,    25.2,    13.3,    43.2
Pasir Panjang,2025,1,17,     1.2,     1.0,     1.0,     1.0,    26.8,    29.5,    25.6,    16.7,    50.4
Pasir Panjang,2025,1,18,     4.2,     2.2,     2.2,     3.4,    26.4,    28.9,    25.0,    15.0,    45.0
Pasir Panjang,2025,1,19,    18.2,    10.0,    10.2,    10.4,    25.5,    27.2,    24.4,    12.0,    43.2
Pasir Panjang,2025,1,20,     0.0,     0.0,     0.0,     0.2,    27.1,    29.9,    24.9,    12.9,    37.4
Pasir Panjang,2025,1,21,     0.2,     0.2,     0.2,     0.2,    26.1,    27.5,    25.4,    13.8,    42.8
Pasir Panjang,2025,1,22,     0.6,     0.4,     0.6,     0.6,    26.4,    28.5,    25.2,    10.3,    33.2
Pasir Panjang,2025,1,23,     0.2,     0.2,     0.2,     0.2,    26.5,    28.3,    25.0,     9.4,    27.8
Pasir Panjang,2025,1,24,     0.4,     0.2,     0.2,     0.4,    26.2,    27.5,    25.5,     7.1,    30.2
Pasir Panjang,2025,1,25,    19.4,    18.4,    18.6,    19.4,    26.9,    30.9,    24.0,     7.5,    23.3
Pasir Panjang,2025,1,26,    25.4,    17.6,    21.8,    25.0,    27.0,    31.2,    23.8,     7.4,    36.7
Pasir Panjang,2025,1,27,     3.2,     0.8,     1.6,     2.0,    25.9,    30.1,    24.2,    10.5,    33.5
Pasir Panjang,2025,1,28,     0.0,     0.0,     0.0,     0.0,    26.5,    29.3,    24.9,    15.6,    52.6
Pasir Panjang,2025,1,29,     0.0,     0.0,     0.0,     0.0,    26.4,    28.7,    25.2,    16.6,    48.9
Pasir Panjang,2025,1,30,     0.0,     0.0,     0.0,     0.0,    27.1,    30.4,    25.2,    14.1,    41.1
Pasir Panjang,2025,1,31,     0.0,     0.0,     0.0,     0.0,    27.2,    31.2,    24.6,    13.4,    32.0
