Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Newton,2024,4,1,    29.0,    26.6,    29.0,    29.0,    28.8,    34.2,    24.0,     6.1,    37.0
Newton,2024,4,2,     0.0,     0.0,     0.0,     0.0,    30.0,    35.4,    27.7,     8.8,    29.4
Newton,2024,4,3,    11.6,    11.2,    11.6,    11.6,    29.3,    35.2,    25.3,     6.9,    29.1
Newton,2024,4,4,    29.6,    26.6,    29.0,    29.6,    28.4,    33.8,    24.6,     4.5,    40.0
Newton,2024,4,5,     0.0,     0.0,     0.0,     0.0,    29.3,    35.3,    26.6,     5.5,    28.9
Newton,2024,4,6,     0.0,     0.0,     0.0,     0.0,    29.5,    34.3,    27.2,     7.5,    29.1
Newton,2024,4,7,     0.0,     0.0,     0.0,     0.0,    29.8,    33.1,    27.9,     7.2,    25.2
Newton,2024,4,8,    16.6,    12.8,    16.4,    16.6,    28.9,    35.7,    23.4,     5.1,    42.0
Newton,2024,4,9,     0.0,     0.0,     0.0,     0.0,    30.0,    34.3,    26.5,     5.1,    25.6
Newton,2024,4,10,     5.2,     5.0,     5.2,     5.2,    28.5,    32.7,    26.0,     4.9,    32.4
Newton,2024,4,11,    11.6,     6.2,     7.2,     7.2,    28.1,    32.3,    25.4,     7.0,    32.8
Newton,2024,4,12,    45.6,    14.4,    22.8,    29.4,    25.7,    28.0,    23.3,     5.3,    33.5
Newton,2024,4,13,     0.0,     0.0,     0.0,     0.0,    28.6,    32.6,    25.5,     6.3,    30.6
Newton,2024,4,14,     0.2,     0.2,     0.2,     0.2,    28.5,    31.6,    27.2,     5.6,    30.9
Newton,2024,4,15,     0.0,     0.0,     0.0,     0.0,    28.8,    33.1,    27.1,     7.2,    33.5
Newton,2024,4,16,     1.0,     0.4,     0.6,     0.6,    27.4,    28.4,    26.4,     5.8,    23.7
Newton,2024,4,17,     1.0,     0.6,     0.6,     1.0,    28.2,    33.1,    25.4,     5.3,    33.9
Newton,2024,4,18,     0.0,     0.0,     0.0,     0.0,    29.0,    33.2,    26.4,     5.5,    23.7
Newton,2024,4,19,     9.4,     8.8,     9.2,     9.2,    29.1,    33.0,    25.1,     5.7,    27.0
Newton,2024,4,20,    20.6,    16.4,    19.0,    20.4,    28.1,    32.6,    24.3,     5.8,    40.0
Newton,2024,4,21,     2.6,     2.4,     2.6,     2.6,    28.8,    33.8,    26.7,     4.7,    33.5
Newton,2024,4,22,     5.6,     5.4,     5.6,     5.6,    29.1,    32.2,    26.1,     5.0,    26.3
Newton,2024,4,23,     1.0,     1.0,     1.0,     1.0,    29.8,    35.0,    27.6,     6.2,    25.9
Newton,2024,4,24,     0.0,     0.0,     0.0,     0.0,    29.8,    32.9,    28.3,     7.2,    29.1
Newton,2024,4,25,     0.0,     0.0,     0.0,     0.0,    29.9,    34.6,    28.2,     8.1,    35.0
Newton,2024,4,26,     0.0,     0.0,     0.0,     0.0,    30.1,    35.1,    27.8,     5.4,    29.8
Newton,2024,4,27,     0.2,     0.2,     0.2,     0.2,    30.4,    34.9,    28.0,     6.8,    30.2
Newton,2024,4,28,     4.0,     3.8,     3.8,     4.0,    29.3,    33.1,    26.3,     7.9,    35.9
Newton,2024,4,29,     0.0,     0.0,     0.0,     0.0,    30.2,    34.3,    27.5,     8.9,    33.9
Newton,2024,4,30,     0.0,-,     0.0,     0.0,    30.3,    33.9,    28.6,     8.3,    24.4
