Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2024,6,1,    29.6,    12.6,    16.0,    22.8,    27.7,    30.1,    24.3,    13.0,    48.2
Pasir Panjang,2024,6,2,     2.8,     1.6,     2.0,     2.4,    28.0,    30.2,    26.2,    10.7,    31.7
Pasir Panjang,2024,6,3,     0.8,     0.8,     0.8,     0.8,    28.7,    32.5,    26.6,     9.6,    46.1
Pasir Panjang,2024,6,4,     0.0,     0.0,     0.0,     0.0,    29.4,    32.5,    27.0,    10.2,    35.0
Pasir Panjang,2024,6,5,     0.0,     0.0,     0.0,     0.0,    30.1,    32.5,    26.6,    14.1,    37.0
Pasir Panjang,2024,6,6,     0.0,     0.0,     0.0,     0.0,    29.4,    32.8,    26.8,    11.9,    41.5
Pasir Panjang,2024,6,7,     0.8,     0.4,     0.4,     0.4,    29.1,    31.2,    27.8,     9.6,    24.1
Pasir Panjang,2024,6,8,     8.0,     6.2,     8.0,     8.0,    29.6,    31.1,    25.8,    10.5,    40.7
Pasir Panjang,2024,6,9,     0.0,     0.0,     0.0,     0.0,    29.6,    31.1,    28.4,    12.4,    31.3
Pasir Panjang,2024,6,10,     0.0,     0.0,     0.0,     0.0,    29.9,    31.5,    28.3,    13.5,    28.2
Pasir Panjang,2024,6,11,     0.0,     0.0,     0.0,     0.0,    29.9,    33.6,    28.0,    10.9,    42.8
Pasir Panjang,2024,6,12,     6.0,     3.6,     5.0,     5.8,    29.3,    31.0,    25.9,    10.3,    33.9
Pasir Panjang,2024,6,13,     0.0,     0.0,     0.0,     0.0,    30.0,    33.0,    27.8,     9.7,    25.2
Pasir Panjang,2024,6,14,    31.2,    13.4,    21.0,    31.2,    29.2,    32.1,    26.4,     9.9,    29.8
Pasir Panjang,2024,6,15,     7.0,     4.0,     5.2,     6.8,    29.4,    31.6,    26.5,    10.6,    32.8
Pasir Panjang,2024,6,16,     9.6,     8.8,     8.8,     9.2,    28.5,    31.3,    23.8,    11.4,    36.7
Pasir Panjang,2024,6,17,    18.0,    14.0,    17.2,    17.6,    28.7,    31.5,    24.9,    14.5,    57.2
Pasir Panjang,2024,6,18,     0.0,     0.0,     0.0,     0.0,    29.6,    31.7,    27.2,    10.7,    27.4
Pasir Panjang,2024,6,19,     3.8,     3.6,     3.8,     3.8,    29.1,    30.0,    25.7,    13.7,    40.0
Pasir Panjang,2024,6,20,     0.0,     0.0,     0.0,     0.0,    29.3,    31.1,    27.5,    11.7,    31.3
Pasir Panjang,2024,6,21,    10.6,     4.6,     5.8,     7.8,    28.1,    29.8,    23.2,    17.8,    82.8
Pasir Panjang,2024,6,22,    43.0,    26.6,    32.8,    38.2,    27.1,    29.7,    22.8,    17.0,    55.0
Pasir Panjang,2024,6,23,     0.0,     0.0,     0.0,     0.0,    29.3,    31.6,    27.5,    12.3,    28.5
Pasir Panjang,2024,6,24,     0.0,     0.0,     0.0,     0.0,    30.0,    32.2,    29.1,    14.2,    34.3
Pasir Panjang,2024,6,25,     0.0,     0.0,     0.0,     0.0,    30.1,    32.6,    29.0,    13.7,    34.3
Pasir Panjang,2024,6,26,     4.8,     2.2,     3.0,     4.8,    29.9,    34.0,    25.4,    13.1,    45.0
Pasir Panjang,2024,6,27,     0.0,     0.0,     0.0,     0.0,    29.2,    31.3,    27.1,    10.9,    35.2
Pasir Panjang,2024,6,28,     0.0,     0.0,     0.0,     0.0,    29.4,    32.1,    28.0,     9.6,    42.8
Pasir Panjang,2024,6,29,     5.6,     2.4,     3.6,     3.8,    28.7,    30.4,    25.6,    11.0,    28.2
Pasir Panjang,2024,6,30,    16.6,     6.0,     7.8,    13.2,    27.1,    29.3,    23.9,    11.6,    52.2
