Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,2025,1,1,     5.2,     3.4,     4.0,     4.0,    27.3,    32.5,    24.9,     6.3,    29.6
Paya Lebar,2025,1,2,     0.0,     0.0,     0.0,     0.0,    28.5,    32.9,    25.5,     8.5,    27.8
Paya Lebar,2025,1,3,     1.4,     1.2,     1.2,     1.2,    28.7,    33.8,    25.4,     9.4,    27.8
Paya Lebar,2025,1,4,     0.2,     0.2,     0.2,     0.2,    28.6,    32.4,    26.1,     9.4,    31.5
Paya Lebar,2025,1,5,     0.0,     0.0,     0.0,     0.0,    28.7,    33.5,    26.1,    11.0,    35.2
Paya Lebar,2025,1,6,     0.0,     0.0,     0.0,     0.0,    28.8,    32.9,    26.2,    12.0,    35.2
Paya Lebar,2025,1,7,     0.0,     0.0,     0.0,     0.0,    28.8,    34.1,    26.0,     8.6,    29.6
Paya Lebar,2025,1,8,     0.0,     0.0,     0.0,     0.0,    29.0,    33.9,    26.4,    10.0,    38.9
Paya Lebar,2025,1,9,     0.0,     0.0,     0.0,     0.0,    29.0,    33.9,    26.1,    11.2,    38.9
Paya Lebar,2025,1,10,   128.2,    13.4,    25.4,    39.6,    24.7,    27.3,    22.6,     5.4,    22.2
Paya Lebar,2025,1,11,    88.0,    13.8,    16.0,    24.0,    23.9,    25.3,    22.6,     5.3,    33.3
Paya Lebar,2025,1,12,    54.0,    14.2,    16.0,    19.8,    25.3,    27.2,    23.1,     9.9,    40.7
Paya Lebar,2025,1,13,    62.7,-,-,-,    24.7,    26.4,    23.4,     9.3,    35.2
Paya Lebar,2025,1,14,     9.8,     5.2,     6.0,     7.4,    25.7,    28.9,    24.1,     6.6,    29.6
Paya Lebar,2025,1,15,     4.4,     3.6,     4.4,     4.4,    25.8,    28.9,    24.6,     4.0,    16.7
Paya Lebar,2025,1,16,     0.4,     0.2,     0.2,     0.2,    27.4,    32.0,    24.7,    11.0,    40.7
Paya Lebar,2025,1,17,     5.8,     2.4,     4.8,     4.8,    26.8,    31.3,    25.2,    11.1,    40.7
Paya Lebar,2025,1,18,     0.8,     0.2,     0.4,     0.4,    26.8,    30.9,    24.9,    10.8,    37.0
Paya Lebar,2025,1,19,    13.0,     4.0,     6.6,     7.2,    26.0,    28.8,    24.5,     7.4,    31.5
Paya Lebar,2025,1,20,     0.0,     0.0,     0.0,     0.0,    27.2,    31.2,    25.2,     9.3,    33.3
Paya Lebar,2025,1,21,     1.0,     0.2,     0.2,     0.4,    25.9,    27.5,    24.7,     8.9,    35.2
Paya Lebar,2025,1,22,     0.0,     0.2,     0.2,     0.2,    26.4,    28.8,    24.9,     7.6,    22.2
Paya Lebar,2025,1,23,     1.2,     0.4,     0.6,     0.8,    26.2,    28.3,    24.6,     6.6,    20.4
Paya Lebar,2025,1,24,     4.2,     1.6,     2.4,     3.0,    25.9,    27.2,    25.1,     4.2,    20.4
Paya Lebar,2025,1,25,     1.0,     1.0,     1.0,     1.0,    27.5,    32.1,    24.7,     6.3,    22.2
Paya Lebar,2025,1,26,     0.0,     0.0,     0.0,     0.0,    27.8,    31.5,    25.4,     7.6,    25.9
Paya Lebar,2025,1,27,     6.0,     0.8,     1.6,     2.4,    25.6,    30.4,    23.6,     8.1,    27.8
Paya Lebar,2025,1,28,     0.6,     0.6,     0.6,     0.6,    26.7,    30.2,    24.5,    11.0,    42.6
Paya Lebar,2025,1,29,     0.0,     0.0,     0.0,     0.0,    26.6,    30.0,    25.0,    11.3,    38.9
Paya Lebar,2025,1,30,     0.0,     0.0,     0.0,     0.0,    27.4,    31.5,    24.7,    11.0,    38.9
Paya Lebar,2025,1,31,     0.0,     0.0,     0.0,     0.0,    27.3,    31.7,    24.2,    10.0,    29.6
