Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Newton,2024,9,1,     0.0,     0.0,     0.0,     0.0,    29.3,    33.3,    27.3,    10.1,    32.4
Newton,2024,9,2,     0.0,     0.0,     0.0,     0.0,    29.6,    33.2,    27.7,    11.4,    36.7
Newton,2024,9,3,    20.4,    12.2,    18.2,    20.4,    28.7,    31.5,    24.7,     9.9,    47.6
Newton,2024,9,4,    21.6,     6.8,    12.0,    16.6,    27.1,    29.6,    23.1,     8.8,    59.4
Newton,2024,9,5,     0.0,     0.0,     0.0,     0.0,    28.7,    32.3,    26.1,     7.1,    31.7
Newton,2024,9,6,     0.0,     0.0,     0.0,     0.0,    29.1,    32.7,    27.5,    10.7,    35.0
Newton,2024,9,7,     3.8,     3.8,     3.8,     3.8,    29.0,    31.9,    24.6,    11.1,    51.5
Newton,2024,9,8,     3.0,     3.0,     3.0,     3.0,    28.3,    32.2,    25.3,     7.2,    42.8
Newton,2024,9,9,     0.4,     0.2,     0.2,     0.2,    27.8,    32.9,    26.4,     6.6,    28.2
Newton,2024,9,10,    35.4,    26.6,    31.8,    33.2,    27.4,    31.1,    22.8,     6.4,    49.6
Newton,2024,9,11,     0.0,     0.0,     0.0,     0.0,    28.9,    33.9,    27.0,     6.0,    39.6
Newton,2024,9,12,     7.0,     3.6,     3.8,     6.8,    27.9,    31.0,    24.6,     9.2,    40.7
Newton,2024,9,13,     0.0,     0.0,     0.0,     0.0,    28.9,    32.5,    27.0,     8.0,    33.5
Newton,2024,9,14,    37.2,    17.4,    28.2,    35.0,    27.4,    30.9,    23.2,     8.6,    50.4
Newton,2024,9,15,    15.0,     9.6,     9.6,    14.4,    27.6,    29.8,    24.7,     6.4,    32.8
Newton,2024,9,16,     0.0,     0.0,     0.0,     0.0,    28.6,    31.8,    26.7,     8.3,    38.5
Newton,2024,9,17,     9.2,     9.0,     9.0,     9.2,    28.7,    32.3,    23.8,     9.1,    47.2
Newton,2024,9,18,     0.0,     0.0,     0.0,     0.0,    28.7,    32.3,    25.6,     8.6,    45.0
Newton,2024,9,19,     0.0,     0.0,     0.0,     0.0,    29.2,    32.1,    27.6,     7.7,    32.8
Newton,2024,9,20,    16.4,    15.0,    16.4,    16.4,    28.9,    32.4,    23.1,     9.1,    47.8
Newton,2024,9,21,     7.6,     9.8,    18.2,    20.6,    27.6,    31.5,    23.2,     5.7,    38.5
Newton,2024,9,22,     0.0,     0.0,     0.0,     0.0,    29.9,    34.7,    27.5,     7.6,    29.4
Newton,2024,9,23,     0.0,     0.0,     0.0,     0.0,    29.3,    34.4,    27.3,    10.0,    39.3
Newton,2024,9,24,     0.0,     0.0,     0.0,     0.0,    27.5,    31.2,    26.0,     4.3,    24.4
Newton,2024,9,25,     4.6,     3.4,     4.0,     4.0,    27.0,    32.1,    24.9,     4.5,    27.4
Newton,2024,9,26,     3.4,     1.2,     1.6,     2.6,    26.2,    28.0,    23.1,     6.0,    37.0
Newton,2024,9,27,     0.0,     0.0,     0.0,     0.0,    28.5,    33.2,    25.2,     7.3,    28.2
Newton,2024,9,28,     0.0,     0.0,     0.0,     0.0,    28.7,    32.8,    26.8,     9.5,    34.6
Newton,2024,9,29,     1.4,     1.2,     1.4,     1.4,    28.6,    33.1,    26.6,     6.2,    23.7
Newton,2024,9,30,    29.4,    10.6,    16.6,    23.8,    27.8,    32.2,    24.4,     5.5,    39.3
