Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2024,4,1,    22.4,    19.8,    20.6,    20.8,    29.3,    33.0,    25.7,-,    30.2
Pasir Panjang,2024,4,2,     0.0,     0.0,     0.0,     0.0,    30.2,    33.0,    28.3,    11.6,    28.2
Pasir Panjang,2024,4,3,     0.8,     0.8,     0.8,     0.8,    30.0,    32.9,    27.1,     9.8,    32.0
Pasir Panjang,2024,4,4,     9.0,     4.6,     4.6,     4.6,    29.0,    33.0,    26.9,     9.6,    35.9
Pasir Panjang,2024,4,5,     0.0,     0.0,     0.0,     0.0,    29.8,    33.2,    27.6,    10.1,    27.0
Pasir Panjang,2024,4,6,     0.0,     0.0,     0.0,     0.0,    30.2,    34.4,    27.9,    11.0,    34.6
Pasir Panjang,2024,4,7,     0.0,     0.0,     0.0,     0.0,    30.3,    34.3,    28.4,    11.1,    29.4
Pasir Panjang,2024,4,8,     2.4,     2.2,     2.4,     2.4,    29.3,    32.0,    25.1,    10.2,    60.2
Pasir Panjang,2024,4,9,     0.0,     0.0,     0.0,     0.0,    30.3,    34.0,    27.8,    10.6,    30.6
Pasir Panjang,2024,4,10,     6.0,     4.8,     6.0,     6.0,    28.6,    31.4,    26.0,    10.7,    32.4
Pasir Panjang,2024,4,11,     6.2,     3.6,     3.8,     4.0,    28.8,    32.2,    26.2,-,    35.0
Pasir Panjang,2024,4,12,    29.4,     6.6,    10.4,    15.0,    26.6,    29.0,    24.8,-,-
Pasir Panjang,2024,4,13,     2.2,     2.0,     2.2,     2.2,    29.0,    33.7,    26.4,-,    38.5
Pasir Panjang,2024,4,14,    18.0,    16.0,    17.6,    17.8,    28.7,    31.5,    25.6,     9.2,    33.5
Pasir Panjang,2024,4,15,     0.5,     0.5,     0.5,     0.5,    29.4,    33.7,    27.6,     9.4,    37.0
Pasir Panjang,2024,4,16,     2.0,     1.0,     1.2,     1.4,    28.1,    29.2,    26.9,-,    30.6
Pasir Panjang,2024,4,17,    50.2,    25.6,    30.6,    43.6,    28.2,    31.4,    24.5,-,    30.6
Pasir Panjang,2024,4,18,    15.6,    14.4,    15.0,    15.6,    29.3,    32.3,    25.2,-,    29.4
Pasir Panjang,2024,4,19,     5.4,     5.0,     5.2,     5.4,    29.7,    31.7,    26.2,    11.4,    27.0
Pasir Panjang,2024,4,20,    18.2,    12.8,    18.2,    18.2,    28.8,    30.4,    25.1,-,    44.6
Pasir Panjang,2024,4,21,     0.0,     0.0,     0.0,     0.0,    29.4,    32.0,    28.0,    10.7,    30.9
Pasir Panjang,2024,4,22,     1.4,     1.4,     1.4,     1.4,    29.7,    32.0,    27.0,     8.4,    27.4
Pasir Panjang,2024,4,23,     0.0,     0.0,     0.0,     0.0,    30.4,    33.0,    28.3,     9.9,    28.5
Pasir Panjang,2024,4,24,     0.0,     0.0,     0.0,     0.0,    30.0,    32.0,    28.8,    11.4,    29.1
Pasir Panjang,2024,4,25,     0.0,     0.0,     0.0,     0.0,    30.4,    33.7,    29.1,    11.2,    28.2
Pasir Panjang,2024,4,26,     0.0,     0.0,     0.0,     0.0,    30.4,    33.6,    28.7,    10.1,    32.0
Pasir Panjang,2024,4,27,    21.0,    14.4,    19.2,    21.0,    30.6,    34.4,    26.7,-,    33.9
Pasir Panjang,2024,4,28,     3.8,     2.8,     2.8,     3.8,    30.0,    32.6,    26.8,    10.7,    39.3
Pasir Panjang,2024,4,29,     0.0,     0.0,     0.0,     0.0,    31.0,    34.2,    28.4,     9.8,    28.9
Pasir Panjang,2024,4,30,     0.0,-,     0.0,     0.0,    30.9,    33.1,    29.5,    11.3,    27.4
