Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,2024,3,1,     0.0,     0.0,     0.0,     0.0,    29.4,    33.8,    27.0,    11.0,    40.7
Paya Lebar,2024,3,2,     2.4,     2.4,     2.4,     2.4,    29.0,    33.9,    26.6,    10.1,    38.9
Paya Lebar,2024,3,3,    14.4,    10.4,    11.4,    11.4,    27.6,    31.6,    24.7,     8.4,    38.9
Paya Lebar,2024,3,4,     6.2,     3.8,     3.8,     5.8,    28.8,    33.2,    24.4,     9.7,    35.2
Paya Lebar,2024,3,5,    57.8,    19.0,    23.8,    35.0,    26.5,    33.5,    24.2,     5.6,    25.9
Paya Lebar,2024,3,6,     8.6,     8.4,     8.6,     8.6,    27.6,    33.5,    25.1,     5.3,    25.9
Paya Lebar,2024,3,7,    27.6,    11.4,    14.4,    23.8,    28.1,    34.3,    24.8,     5.6,    25.9
Paya Lebar,2024,3,8,    10.2,     6.6,     8.8,    10.0,    27.3,    31.7,    24.7,     4.2,    31.5
Paya Lebar,2024,3,9,     0.0,     0.0,     0.0,     0.0,    28.9,    33.9,    25.7,     8.9,    27.8
Paya Lebar,2024,3,10,     0.0,     0.0,     0.0,     0.0,    28.8,    32.9,    26.4,     9.3,    33.3
Paya Lebar,2024,3,11,     0.0,     0.0,     0.0,     0.0,    29.4,    33.9,    26.4,    10.4,    35.2
Paya Lebar,2024,3,12,     0.0,     0.0,     0.0,     0.0,    29.7,    34.3,    27.5,    10.6,    31.5
Paya Lebar,2024,3,13,     0.0,     0.0,     0.0,     0.0,    29.7,    35.2,    26.1,    10.8,    38.9
Paya Lebar,2024,3,14,     0.0,     0.0,     0.0,     0.0,    29.5,    35.0,    26.3,    11.2,    31.5
Paya Lebar,2024,3,15,     0.0,     0.0,     0.0,     0.0,    28.9,    33.3,    25.4,     9.7,    31.5
Paya Lebar,2024,3,16,     0.0,     0.0,     0.0,     0.0,    29.4,    34.4,    25.8,    10.7,    35.2
Paya Lebar,2024,3,17,     0.0,     0.0,     0.0,     0.0,    30.0,    35.2,    26.1,    11.1,    40.7
Paya Lebar,2024,3,18,     0.0,     0.0,     0.0,     0.0,    30.2,    35.5,    26.5,    11.7,    35.2
Paya Lebar,2024,3,19,     3.2,     1.6,     2.4,     2.6,    29.3,    34.5,    26.8,    11.3,    33.3
Paya Lebar,2024,3,20,     0.0,     0.0,     0.0,     0.0,    29.3,    33.2,    26.6,    11.7,    37.0
Paya Lebar,2024,3,21,     0.8,     0.8,     0.8,     0.8,    29.0,    32.7,    26.8,    10.2,    33.3
Paya Lebar,2024,3,22,     0.0,     0.0,     0.0,     0.0,    29.4,    33.8,    26.1,    11.7,    31.5
Paya Lebar,2024,3,23,     0.0,     0.0,     0.0,     0.0,    30.0,    35.7,    26.3,    10.7,    29.6
Paya Lebar,2024,3,24,     0.0,     0.0,     0.0,     0.0,    30.0,    35.3,    26.4,    10.2,    33.3
Paya Lebar,2024,3,25,     0.0,     0.0,     0.0,     0.0,    30.3,    35.4,    26.5,    10.8,    31.5
Paya Lebar,2024,3,26,     0.0,     0.0,     0.0,     0.0,    30.5,    35.5,    26.8,    11.7,    35.2
Paya Lebar,2024,3,27,     0.0,     0.0,     0.0,     0.0,    30.5,    35.7,    26.8,    11.0,    33.3
Paya Lebar,2024,3,28,     0.0,     0.0,     0.0,     0.0,    30.4,    35.4,    27.4,    10.3,    33.3
Paya Lebar,2024,3,29,     0.0,     0.0,     0.0,     0.0,    30.6,    35.8,    27.4,    10.4,    35.2
Paya Lebar,2024,3,30,     0.0,     0.0,     0.0,     0.0,    30.4,    35.4,    27.8,     9.7,    33.3
Paya Lebar,2024,3,31,    19.8,     9.8,    10.0,    10.0,    29.2,    33.9,    27.0,     4.9,    22.2
