Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Clementi,2024,9,1,     0.0,     0.0,     0.0,     0.0,    29.7,    33.4,    27.1,     6.0,    23.7
Clementi,2024,9,2,     0.0,     0.0,     0.0,     0.0,    29.8,    33.2,    27.9,     8.3,    29.8
Clementi,2024,9,3,     8.0,     7.4,     8.0,     8.0,    29.2,    32.0,    25.3,     4.9,    32.4
Clementi,2024,9,4,    25.2,    14.2,    16.6,    19.8,    27.2,    30.0,    23.5,     4.8,    41.1
Clementi,2024,9,5,     0.0,     0.0,     0.0,     0.0,    28.6,    32.4,    25.9,     6.4,    28.5
Clementi,2024,9,6,     0.0,     0.0,     0.0,     0.0,    29.3,    33.0,    27.5,     7.9,    29.8
Clementi,2024,9,7,     1.0,     1.0,     1.0,     1.0,    29.1,    31.7,    26.6,     8.7,    38.2
Clementi,2024,9,8,     5.4,     5.2,     5.4,     5.4,    28.3,    32.1,    24.1,     5.5,    37.0
Clementi,2024,9,9,     0.0,     0.0,     0.0,     0.0,    28.0,    32.2,    26.5,     4.6,    23.3
Clementi,2024,9,10,    38.4,    26.4,    34.0,    35.2,    27.7,    31.1,    23.2,     4.8,    26.3
Clementi,2024,9,11,     1.0,     1.0,     1.0,     1.0,    28.7,    33.3,    25.0,     4.5,    32.0
Clementi,2024,9,12,     3.2,     1.4,     1.4,     1.8,    28.1,    31.3,    25.4,     6.8,    28.5
Clementi,2024,9,13,     0.5,     1.7,     1.7,     1.7,    28.9,    32.1,    26.0,     6.3,    23.7
Clementi,2024,9,14,    46.4,    28.8,    40.0,    43.0,    27.7,    31.2,    23.4,     6.3,    32.0
Clementi,2024,9,15,     8.2,     8.0,     8.2,     8.2,    27.7,    30.1,    25.0,     4.4,    33.9
Clementi,2024,9,16,     0.0,     0.0,     0.0,     0.0,    28.8,    32.0,    26.9,     6.8,    25.6
Clementi,2024,9,17,     5.2,     5.2,     5.2,     5.2,    29.0,    33.4,    23.9,     7.3,    54.1
Clementi,2024,9,18,     0.0,     0.0,     0.0,     0.0,    28.9,    32.7,    26.4,     7.4,    29.8
Clementi,2024,9,19,     0.0,     0.0,     0.0,     0.0,    29.3,    31.4,    27.7,     6.6,    25.9
Clementi,2024,9,20,    24.8,    17.2,    24.8,    24.8,    29.1,    32.1,    23.5,     7.7,    43.9
Clementi,2024,9,21,     8.0,    10.6,    25.6,    28.8,    27.7,    30.8,    23.7,     4.0,    26.3
Clementi,2024,9,22,     0.0,     0.0,     0.0,     0.0,    30.3,    34.8,    27.0,     4.0,    21.3
Clementi,2024,9,23,     0.8,     0.8,     0.8,     0.8,    29.1,    34.6,    26.1,     4.3,    29.8
Clementi,2024,9,24,    29.0,    26.4,    29.0,    29.0,    27.7,    32.8,    24.2,     3.2,    24.4
Clementi,2024,9,25,    27.8,    17.4,    22.8,    27.6,    26.8,    32.3,    24.0,     3.0,    20.9
Clementi,2024,9,26,    11.0,     4.6,     7.2,     8.8,    26.1,    28.3,    22.8,     5.0,    31.7
Clementi,2024,9,27,     0.0,     0.0,     0.0,     0.0,    28.6,    32.9,    25.1,     4.7,    23.7
Clementi,2024,9,28,     0.0,     0.0,     0.0,     0.0,    28.8,    34.2,    26.8,     5.3,    27.8
Clementi,2024,9,29,     4.6,     4.2,     4.4,     4.6,    28.8,    32.3,    26.4,     4.6,    25.6
Clementi,2024,9,30,    24.0,    10.2,    12.2,    12.2,    28.0,    33.0,    24.6,     4.0,    23.3
