Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2024,7,1,2,1.8,2,2,-,-,-,4,18.7
Marina Barrage,2024,7,2,1.2,0.4,0.6,1,-,-,-,5.5,20.6
Marina Barrage,2024,7,3,0,0,0,0,-,-,-,5.7,29.8
Marina Barrage,2024,7,4,0,0,0,0,-,-,-,8.2,37.4
Marina Barrage,2024,7,5,0,0,0,0,-,-,-,4.3,31.3
Marina Barrage,2024,7,6,1.4,1.2,1.2,1.2,-,-,-,6.1,22.4
Marina Barrage,2024,7,7,26.4,16.4,20.4,22,-,-,-,5,36.3
Marina Barrage,2024,7,8,8,3.6,5.6,6.8,-,-,-,5.5,26.3
Marina Barrage,2024,7,9,0.4,0.2,0.2,0.2,-,-,-,5.1,36.3
Marina Barrage,2024,7,10,0.6,0.6,0.6,0.6,-,-,-,6.7,30.2
Marina Barrage,2024,7,11,0,0,0,0,-,-,-,9.6,30.9
Marina Barrage,2024,7,12,10.4,7,8.4,8.8,-,-,-,5.6,35
Marina Barrage,2024,7,13,0,0,0,0,-,-,-,5.7,30.9
Marina Barrage,2024,7,14,0,0,0,0,-,-,-,6.7,26.7
Marina Barrage,2024,7,15,0,0,0,0,-,-,-,8.6,29.1
Marina Barrage,2024,7,16,0,0,0,0,-,-,-,8.6,32
Marina Barrage,2024,7,17,0,0,0,0,-,-,-,8.2,28.5
Marina Barrage,2024,7,18,0,0,0,0,-,-,-,8,31.3
Marina Barrage,2024,7,19,0.6,0.6,0.6,0.6,-,-,-,6.8,23.3
Marina Barrage,2024,7,20,0,0,0,0,-,-,-,7.6,26.3
Marina Barrage,2024,7,21,0,0,0,0,-,-,-,7.2,27
Marina Barrage,2024,7,22,0,0,0,0,-,-,-,7,26.3
Marina Barrage,2024,7,23,0,0,0,0,-,-,-,6.3,27.4
Marina Barrage,2024,7,24,0,0,0,0,-,-,-,6.5,29.8
Marina Barrage,2024,7,25,0,0,0,0,-,-,-,7.4,29.1
Marina Barrage,2024,7,26,0,0,0,0,-,-,-,7.7,29.4
Marina Barrage,2024,7,27,0,0,0,0,-,-,-,7.5,29.8
Marina Barrage,2024,7,28,0,0,0,0,-,-,-,7.7,28.5
Marina Barrage,2024,7,29,0,0,0,0,-,-,-,5.5,23.3
Marina Barrage,2024,7,30,0,0,0,0,-,-,-,4.5,20.9
Marina Barrage,2024,7,31,17.4,14.8,15.6,15.8,-,-,-,5.8,38.2
