Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2024,12,1,     0.2,     0.2,     0.2,     0.2,    28.1,    32.3,    25.3,     9.5,    35.0
Admiralty,2024,12,2,    36.2,    28.2,    35.0,    36.0,    27.5,    32.5,    24.8,     7.6,    37.4
Admiralty,2024,12,3,     2.6,     1.0,     1.4,     2.2,    27.5,    31.5,    25.4,     7.1,    32.8
Admiralty,2024,12,4,     0.0,     0.0,     0.2,     0.2,    27.5,    31.4,    25.2,     7.5,    29.4
Admiralty,2024,12,5,     0.0,     0.0,     0.0,     0.0,    28.6,    31.8,    25.8,    10.3,    42.4
Admiralty,2024,12,6,     0.0,     0.0,     0.0,     0.0,    29.3,    33.8,    26.0,     8.6,    30.6
Admiralty,2024,12,7,     1.2,     1.2,     1.2,     1.2,    29.3,    34.2,    26.3,    10.7,    40.7
Admiralty,2024,12,8,     0.0,     0.0,     0.0,     0.0,    28.2,    33.7,    26.3,    11.4,    50.0
Admiralty,2024,12,9,     2.8,     1.2,     1.2,     1.2,    26.1,    29.7,    24.1,    12.9,    45.4
Admiralty,2024,12,10,     0.0,     0.0,     0.0,     0.0,    26.8,    29.5,    24.8,    13.1,    42.4
Admiralty,2024,12,11,     0.2,     0.2,     0.2,     0.2,    28.2,    33.1,    25.1,     8.1,    28.9
Admiralty,2024,12,12,     0.0,     0.0,     0.0,     0.0,    28.0,    30.8,    26.1,     8.5,    30.9
Admiralty,2024,12,13,    40.4,    32.0,    38.2,    40.0,    26.8,    28.8,    23.2,     7.5,    48.5
Admiralty,2024,12,14,     0.2,     0.2,     0.2,     0.2,    28.6,    33.2,    25.6,     8.7,    33.2
Admiralty,2024,12,15,     0.0,     0.0,     0.0,     0.0,    29.0,    34.7,    26.4,     7.6,    35.6
Admiralty,2024,12,16,    54.8,    21.8,    42.0,    49.0,    27.0,    33.1,    23.5,     8.5,    42.0
Admiralty,2024,12,17,     1.0,     0.4,     0.6,     0.6,    27.2,    31.3,    25.5,    10.2,    38.2
Admiralty,2024,12,18,     6.8,     5.4,     6.4,     6.6,    25.8,    27.6,    24.1,    11.6,    39.3
Admiralty,2024,12,19,     0.6,     0.6,     0.6,     0.6,    26.7,    28.6,    25.2,    12.5,    39.6
Admiralty,2024,12,20,     0.4,     0.4,     0.4,     0.4,    26.8,    29.8,    24.8,    13.8,    39.3
Admiralty,2024,12,21,     0.6,     0.4,     0.4,     0.6,    27.2,    31.6,    25.6,    11.4,    38.2
Admiralty,2024,12,22,     2.2,     2.0,     2.0,     2.0,    27.3,    31.3,    25.7,    12.3,    33.9
Admiralty,2024,12,23,    33.8,    13.6,    15.0,    20.0,    26.6,    30.9,    23.7,    12.3,    40.4
Admiralty,2024,12,24,     7.0,     4.4,     4.4,     5.2,    26.4,    31.8,    24.2,     9.7,    35.0
Admiralty,2024,12,25,     0.0,     0.0,     0.0,     0.0,    27.0,    30.7,    25.2,    10.0,    27.4
Admiralty,2024,12,26,     0.2,     0.2,     0.2,     0.2,    27.3,    30.3,    25.4,     7.7,    20.2
Admiralty,2024,12,27,     0.0,     0.0,     0.0,     0.0,    27.8,    31.6,    26.0,     9.8,    28.5
Admiralty,2024,12,28,     0.0,     0.0,     0.0,     0.0,    27.9,    31.5,    25.5,    13.4,    38.9
Admiralty,2024,12,29,     8.8,     6.6,     6.8,     8.0,    27.3,    32.0,    24.0,    11.2,    45.4
Admiralty,2024,12,30,     9.2,     3.2,     5.2,     6.2,    26.1,    30.3,    23.3,    10.7,    35.6
Admiralty,2024,12,31,    15.4,     7.8,     8.2,     9.8,    26.6,    31.6,    24.9,    10.2,    38.2
