Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2024,12,1,     0.0,     0.0,     0.0,     0.0,    28.6,    31.1,    26.5,    14.4,    39.6
Pasir Panjang,2024,12,2,     0.0,     0.0,     0.0,     0.0,    28.0,    31.1,    26.6,    11.3,    27.8
Pasir Panjang,2024,12,3,     2.0,     1.0,     1.4,     1.6,    28.1,    31.9,    26.2,    11.8,    54.4
Pasir Panjang,2024,12,4,     0.2,     0.2,     0.6,     0.6,    28.2,    30.7,    26.4,    10.4,    35.6
Pasir Panjang,2024,12,5,     0.0,     0.0,     0.0,     0.0,    29.1,    31.3,    27.0,    16.5,    51.5
Pasir Panjang,2024,12,6,     0.0,     0.0,     0.0,     0.0,    29.9,    33.1,    27.1,    11.3,    43.5
Pasir Panjang,2024,12,7,     0.0,     0.0,     0.0,     0.0,    30.0,    33.2,    27.5,    13.6,    40.4
Pasir Panjang,2024,12,8,     5.6,     4.8,     5.4,     5.4,    28.9,    33.3,    24.3,    13.0,    48.9
Pasir Panjang,2024,12,9,     1.0,     0.4,     0.6,     0.6,    26.6,    29.1,    24.3,    19.8,    48.5
Pasir Panjang,2024,12,10,     0.0,     0.0,     0.0,     0.0,    27.4,    30.1,    25.4,    20.9,    43.9
Pasir Panjang,2024,12,11,     0.0,     0.0,     0.0,     0.0,    28.9,    31.5,    26.1,    13.4,    38.2
Pasir Panjang,2024,12,12,     3.6,     1.6,     2.0,     3.2,    28.3,    29.8,    25.0,    14.7,    54.1
Pasir Panjang,2024,12,13,    18.6,     5.2,     9.4,    11.4,    27.7,    28.9,    24.0,    13.6,    65.2
Pasir Panjang,2024,12,14,     0.0,     0.0,     0.0,     0.0,    28.9,    31.7,    26.7,    13.2,    36.3
Pasir Panjang,2024,12,15,     0.0,     0.0,     0.0,     0.0,    29.0,    32.1,    27.2,     9.1,    20.9
Pasir Panjang,2024,12,16,     0.2,     0.2,     0.2,     0.2,    28.3,    32.0,    26.7,    10.4,    33.9
Pasir Panjang,2024,12,17,     0.0,     0.0,     0.0,     0.0,    28.4,    32.2,    26.7,    12.3,    38.9
Pasir Panjang,2024,12,18,     0.6,     0.4,     0.4,     0.4,    26.7,    28.0,    25.8,    15.3,    44.6
Pasir Panjang,2024,12,19,     0.0,     0.0,     0.0,     0.0,    27.6,    29.4,    25.8,    15.4,    40.4
Pasir Panjang,2024,12,20,     3.4,     1.8,     3.0,     3.4,    27.4,    30.4,    25.5,    13.4,    42.8
Pasir Panjang,2024,12,21,    29.6,    19.2,    20.8,    29.4,    27.5,    32.4,    25.0,    10.8,    39.6
Pasir Panjang,2024,12,22,     4.4,     4.4,     4.4,     4.4,    27.8,    31.7,    25.7,    12.3,    33.9
Pasir Panjang,2024,12,23,    35.6,    13.2,    17.4,    22.8,    26.7,    31.1,    24.2,    10.8,    38.9
Pasir Panjang,2024,12,24,     3.4,     2.4,     2.4,     4.6,    26.7,    31.2,    24.7,     9.7,    30.9
Pasir Panjang,2024,12,25,     2.6,     2.0,     2.6,     2.6,    27.6,    31.4,    25.8,    11.0,    33.5
Pasir Panjang,2024,12,26,     4.0,     3.0,     4.0,     4.0,    27.7,    31.5,    25.9,     7.5,    28.5
Pasir Panjang,2024,12,27,-,-,-,-,    28.2,    32.9,    26.3,     9.0,    27.8
Pasir Panjang,2024,12,28,     0.6,-,-,-,    28.4,    33.0,    26.1,    12.3,    35.2
Pasir Panjang,2024,12,29,    15.2,     7.0,     9.8,    10.6,    27.2,    32.3,    24.3,     9.9,    35.9
Pasir Panjang,2024,12,30,    14.0,     6.2,    10.0,    12.0,    26.6,    31.1,    24.0,    11.2,    46.5
Pasir Panjang,2024,12,31,    18.8,    11.8,    15.2,    17.6,    27.0,    31.9,    24.6,     9.1,    41.1
