Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,2024,5,1,    17.4,    16.0,    17.4,    17.4,    30.3,    34.9,    25.2,     7.3,    27.8
Paya Lebar,2024,5,2,     2.2,     5.8,    18.4,    19.6,    29.5,    32.9,    26.4,     5.6,    33.3
Paya Lebar,2024,5,3,     0.0,     0.0,     0.0,     0.0,    30.1,    34.3,    27.4,     6.0,    24.1
Paya Lebar,2024,5,4,   103.2,-,-,-,    26.5,    29.4,    23.6,     4.7,    25.9
Paya Lebar,2024,5,5,     0.0,-,-,-,    29.8,    34.4,    25.8,     7.5,    31.5
Paya Lebar,2024,5,6,     0.0,     0.0,     0.0,     0.0,    30.2,    34.5,    28.1,     8.6,    29.6
Paya Lebar,2024,5,7,    23.2,    22.4,    22.8,    23.0,    28.4,    32.7,    25.3,     5.8,    33.3
Paya Lebar,2024,5,8,    11.8,    10.6,    11.6,    11.8,    28.3,    31.5,    24.9,     5.2,    22.2
Paya Lebar,2024,5,9,     0.0,     0.0,     0.0,     0.0,    30.0,    34.7,    26.8,     7.4,    24.1
Paya Lebar,2024,5,10,     0.0,     0.0,     0.0,     0.0,    29.7,    33.7,    27.1,     7.1,    40.7
Paya Lebar,2024,5,11,     0.0,     0.0,     0.0,     0.0,    29.8,    34.1,    27.2,     8.0,    25.9
Paya Lebar,2024,5,12,     4.6,     4.2,     4.6,     4.6,    29.4,    33.6,    27.3,     5.2,    35.2
Paya Lebar,2024,5,13,     1.8,     0.8,     1.0,     1.0,    28.7,    33.7,    26.7,     5.2,    27.8
Paya Lebar,2024,5,14,    31.4,    30.8,    31.4,    31.4,    28.6,    35.3,    23.8,     5.5,    27.8
Paya Lebar,2024,5,15,     0.0,     0.0,     0.0,     0.0,    29.3,    33.5,    26.4,     5.6,    33.3
Paya Lebar,2024,5,16,    12.2,     8.0,    10.2,    10.2,    28.0,    32.0,    25.0,     5.6,    40.7
Paya Lebar,2024,5,17,     5.2,     4.8,     5.2,     5.2,    29.0,    33.0,    25.6,     6.2,    33.3
Paya Lebar,2024,5,18,     0.8,     0.6,     0.6,     0.6,    29.1,    33.6,    26.9,     5.8,    35.2
Paya Lebar,2024,5,19,     0.0,     0.0,     0.0,     0.0,    29.6,    33.1,    27.4,    10.0,    33.3
Paya Lebar,2024,5,20,    14.6,     9.0,    11.0,    11.8,    28.2,    30.7,    25.4,     7.6,    37.0
Paya Lebar,2024,5,21,     0.0,     0.0,     0.0,     0.0,    29.1,    32.4,    27.4,     7.9,    33.3
Paya Lebar,2024,5,22,     9.6,     2.8,     3.0,     5.4,    28.0,    30.5,    26.0,     4.6,    22.2
Paya Lebar,2024,5,23,     5.6,     4.8,     5.2,     5.4,    28.4,    33.1,    26.0,     6.2,    24.1
Paya Lebar,2024,5,24,     2.2,     0.8,     0.8,     1.2,    27.9,    32.6,    25.3,     4.2,    22.2
Paya Lebar,2024,5,25,    17.4,    13.0,    13.2,    13.2,    27.8,    33.6,    25.5,     4.6,    33.3
Paya Lebar,2024,5,26,     0.0,     0.0,     0.0,     0.0,    29.3,    33.3,    26.4,     6.4,    22.2
Paya Lebar,2024,5,27,     0.0,     0.0,     0.0,     0.0,    30.4,    34.2,    28.2,    10.1,    33.3
Paya Lebar,2024,5,28,     0.0,     0.0,     0.0,     0.0,    30.2,    33.6,    27.4,     8.3,    46.3
Paya Lebar,2024,5,29,     0.0,     0.0,     0.0,     0.0,    30.4,    35.0,    27.6,     9.3,    33.3
Paya Lebar,2024,5,30,     0.0,     0.0,     0.0,     0.0,    29.8,    32.5,    28.0,    10.9,    42.6
Paya Lebar,2024,5,31,     0.0,     0.0,     0.0,     0.0,    29.3,    32.5,    27.2,     7.3,    24.1
