Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2024,1,1,     4.2,     3.4,     3.4,     3.4,    26.1,    29.5,    25.3,    17.1,    35.6
Jurong (West),2024,1,2,     0.0,     0.0,     0.0,     0.4,    27.7,    33.1,    24.9,    18.0,    38.2
Jurong (West),2024,1,3,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    25.8,    17.9,    35.9
Jurong (West),2024,1,4,    48.8,     7.6,    10.8,    15.6,    25.4,    26.8,    23.8,    15.1,    38.2
Jurong (West),2024,1,5,     0.8,     0.4,     0.4,     0.6,    26.6,    29.6,    24.5,    17.6,    39.3
Jurong (West),2024,1,6,     8.2,     5.2,     6.2,     6.2,    26.7,    30.7,    25.2,    17.6,    47.6
Jurong (West),2024,1,7,    54.4,    16.6,    24.4,    32.4,    24.3,    25.9,    23.4,    13.4,    35.9
Jurong (West),2024,1,8,     0.8,     0.8,     0.8,     0.8,    26.2,    31.3,    23.4,    17.3,    40.4
Jurong (West),2024,1,9,     7.2,     1.4,     2.6,     4.2,    26.8,    30.9,    24.2,    17.7,    37.8
Jurong (West),2024,1,10,    42.6,    18.6,    18.8,    19.0,    26.2,    29.9,    24.5,    17.8,    41.9
Jurong (West),2024,1,11,     0.2,     0.2,     0.2,     0.2,    27.2,    30.0,    24.9,    17.2,    35.0
Jurong (West),2024,1,12,-,-,-,-,    25.4,    27.3,    23.9,    17.1,    40.7
Jurong (West),2024,1,13,     0.0,     0.0,     0.0,     0.0,    27.1,    31.1,    24.5,    17.2,    32.8
Jurong (West),2024,1,14,     0.0,     0.0,     0.0,     0.0,    27.6,    31.4,    25.5,    20.3,    39.6
Jurong (West),2024,1,15,     5.6,     2.2,     2.8,     4.0,    27.5,    32.7,    25.5,    17.8,    42.0
Jurong (West),2024,1,16,     1.4,     1.2,     1.2,     1.4,    26.8,    30.3,    24.1,    16.3,    39.3
Jurong (West),2024,1,17,     7.0,     5.8,     6.2,     6.8,    27.4,    32.0,    25.3,    15.9,    37.0
Jurong (West),2024,1,18,     0.8,     0.6,     0.8,     0.8,    26.8,    30.2,    25.2,    17.4,    38.2
Jurong (West),2024,1,19,     3.0,     2.2,     2.4,     2.6,    26.7,    30.8,    25.2,    16.3,    36.7
Jurong (West),2024,1,20,     6.6,     0.6,     1.2,     1.6,    25.0,    26.6,    23.5,    14.7,    33.9
Jurong (West),2024,1,21,     8.8,     8.2,     8.8,     8.8,    27.5,    34.8,    23.4,    16.8,    35.9
Jurong (West),2024,1,22,     0.0,     0.0,     0.0,     0.0,    28.2,    32.8,    24.8,    18.1,    35.0
Jurong (West),2024,1,23,    33.6,    22.6,    22.8,    32.2,    26.7,    33.3,    23.9,    17.7,    40.4
Jurong (West),2024,1,24,    60.6,    22.2,    29.0,    35.4,    25.9,    30.7,    24.1,    13.9,    34.3
Jurong (West),2024,1,25,     4.8,     2.0,     2.6,     6.4,    26.1,    31.0,    24.5,    15.7,    37.4
Jurong (West),2024,1,26,     0.2,     0.2,     0.2,     0.2,    27.9,    31.9,    25.4,    20.7,    46.9
Jurong (West),2024,1,27,     0.0,     0.0,     0.0,     0.0,    28.5,    32.4,    26.3,    22.0,    51.9
Jurong (West),2024,1,28,     0.0,     0.0,     0.0,     0.0,    28.0,    32.2,    25.3,    21.6,    47.6
Jurong (West),2024,1,29,     0.0,     0.0,     0.0,     0.0,    28.0,    32.2,    25.3,    22.7,    46.5
Jurong (West),2024,1,30,     0.6,     0.4,     0.4,     0.4,    27.4,    30.9,    25.0,-,    41.1
Jurong (West),2024,1,31,     0.0,     0.0,     0.0,     0.0,    27.8,-,-,-,-
