Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ang Mo Kio,2024,10,1,     3.0,     1.6,     2.0,     2.8,    27.7,    30.5,    25.7,     4.1,    32.8
Ang Mo Kio,2024,10,2,     0.0,     0.0,     0.0,     0.0,    29.1,    32.6,    26.5,     5.3,    25.6
Ang Mo Kio,2024,10,3,     0.0,     0.0,     0.0,     0.0,    29.0,    33.2,    26.8,     5.2,    27.8
Ang Mo Kio,2024,10,4,    26.4,    22.6,    22.6,    25.2,    27.7,    31.3,    24.4,     3.9,    37.8
Ang Mo Kio,2024,10,5,     0.2,     0.2,     0.2,     0.2,    28.2,    31.9,    25.4,     4.1,    20.9
Ang Mo Kio,2024,10,6,    22.4,     8.8,    10.6,    11.4,    27.6,    31.2,    23.4,     5.3,    29.1
Ang Mo Kio,2024,10,7,     0.0,     0.0,     0.0,     0.0,    28.6,    33.0,    26.2,     4.6,    27.4
Ang Mo Kio,2024,10,8,     1.6,     1.6,     1.6,     1.6,    28.6,    31.0,    26.2,     5.9,    36.3
Ang Mo Kio,2024,10,9,     0.0,     0.0,     0.0,     0.0,    28.7,    32.6,    26.6,     4.9,    34.6
Ang Mo Kio,2024,10,10,     5.0,     4.4,     5.0,     5.0,    28.5,    31.7,    26.1,     4.2,    23.3
Ang Mo Kio,2024,10,11,    25.2,    15.4,    18.6,    19.2,    27.4,    31.4,    24.8,     3.7,    27.4
Ang Mo Kio,2024,10,12,     5.4,     1.8,     3.4,     4.4,    27.0,    30.7,    26.0,     3.3,    22.4
Ang Mo Kio,2024,10,13,     2.0,     2.0,     2.0,     2.0,    28.4,    32.2,    25.3,     4.9,    27.0
Ang Mo Kio,2024,10,14,    27.2,    10.6,    14.2,    17.0,    26.0,    28.5,    23.5,     4.4,    32.0
Ang Mo Kio,2024,10,15,    13.0,    12.2,    13.0,    13.0,    27.9,    32.2,    23.9,     5.9,    27.0
Ang Mo Kio,2024,10,16,     8.2,     8.0,     8.2,     8.2,    28.2,    31.3,    24.5,     4.0,    40.0
Ang Mo Kio,2024,10,17,     5.4,     5.0,     5.0,     5.0,    27.2,    29.5,    24.4,     3.4,    35.0
Ang Mo Kio,2024,10,18,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    25.6,     4.1,    20.2
Ang Mo Kio,2024,10,19,     0.0,     0.0,     0.0,     0.0,    28.2,    32.2,    26.2,     4.4,    31.7
Ang Mo Kio,2024,10,20,     7.6,     2.4,     3.8,     6.0,    27.4,    32.1,    22.6,     4.6,    35.9
Ang Mo Kio,2024,10,21,     0.0,     0.0,     0.0,     0.0,    30.2,    35.4,    26.7,     5.4,    27.8
Ang Mo Kio,2024,10,22,     0.0,     0.0,     0.0,     0.0,    30.2,    34.3,    27.3,     5.7,    24.8
Ang Mo Kio,2024,10,23,     0.0,     0.0,     0.0,     0.0,    30.2,    34.6,    27.7,     5.5,    27.0
Ang Mo Kio,2024,10,24,     0.0,     0.0,     0.0,     0.0,    29.1,    33.7,    26.7,     4.8,    24.4
Ang Mo Kio,2024,10,25,     0.0,     0.0,     0.0,     0.0,    29.3,    32.9,    26.8,     5.6,    32.8
Ang Mo Kio,2024,10,26,     0.0,     0.0,     0.0,     0.0,    30.2,    33.8,    27.3,     6.3,    28.9
Ang Mo Kio,2024,10,27,     0.0,     0.0,     0.0,     0.0,    30.8,    34.5,    27.5,     6.7,    30.2
Ang Mo Kio,2024,10,28,     4.0,     4.0,     4.0,     4.0,    30.2,    33.8,    26.0,     5.2,    27.8
Ang Mo Kio,2024,10,29,     0.0,     0.0,     0.0,     0.0,    30.5,    34.2,    28.5,     5.5,    31.3
Ang Mo Kio,2024,10,30,     0.0,     0.0,     0.0,     0.0,    30.2,    34.0,    27.4,     5.8,    24.1
Ang Mo Kio,2024,10,31,     1.4,     1.4,     1.4,     1.4,    29.6,    32.5,    25.8,     4.9,    29.1
