Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2024,2,1,     0.0,     0.0,     0.0,     0.0,    28.5,    32.7,    26.5,    15.7,    44.6
Pasir Panjang,2024,2,2,     7.2,     6.0,     6.2,     6.8,    27.7,    32.8,    25.1,    15.1,    48.2
Pasir Panjang,2024,2,3,    42.2,    28.2,    34.0,    35.6,    27.4,    33.0,    22.4,    17.3,    64.4
Pasir Panjang,2024,2,4,     0.0,     0.0,     0.0,     0.0,    28.3,    32.6,    25.9,    17.7,    43.2
Pasir Panjang,2024,2,5,     7.0,     3.8,     7.0,     7.0,    28.5,    34.3,    26.1,    16.2,    45.4
Pasir Panjang,2024,2,6,     0.0,     0.0,     0.0,     0.0,    28.5,    33.3,    26.4,    16.4,    44.3
Pasir Panjang,2024,2,7,    11.4,    11.0,    11.4,    11.4,    28.2,    33.2,    24.8,    17.2,    65.9
Pasir Panjang,2024,2,8,     1.0,     1.0,     1.0,     1.0,    28.3,    32.9,    26.5,    16.7,    42.4
Pasir Panjang,2024,2,9,    34.8,    20.2,    26.4,    27.6,    27.5,    31.5,    23.9,    17.3,    55.7
Pasir Panjang,2024,2,10,     8.6,     8.0,     8.6,     8.6,    28.0,    32.1,    24.5,    20.4,    49.3
Pasir Panjang,2024,2,11,     0.8,     0.8,     6.2,     8.6,    28.2,    32.4,    24.8,    21.2,    59.4
Pasir Panjang,2024,2,12,     2.4,     1.2,     1.2,     2.2,    27.1,    29.6,    25.2,    21.4,    58.0
Pasir Panjang,2024,2,13,     4.6,     2.8,     3.2,     3.4,    27.2,    29.4,    25.0,    22.5,    59.8
Pasir Panjang,2024,2,14,     1.6,     0.8,     0.8,     0.8,    27.8,    31.9,    25.6,    19.2,    46.5
Pasir Panjang,2024,2,15,     4.6,     3.8,     4.0,     4.6,    27.4,    30.0,    25.8,    21.1,    55.0
Pasir Panjang,2024,2,16,     0.0,     0.0,     0.0,     0.0,    28.3,    32.0,    26.7,    23.0,    58.7
Pasir Panjang,2024,2,17,     0.0,     0.0,     0.0,     0.0,    28.1,    31.6,    26.3,    20.8,    48.2
Pasir Panjang,2024,2,18,     0.0,     0.0,     0.0,     0.0,    28.7,    32.8,    26.2,    19.3,    46.5
Pasir Panjang,2024,2,19,     0.0,     0.0,     0.0,     0.0,    28.7,    32.8,    26.4,    18.7,    46.9
Pasir Panjang,2024,2,20,     0.0,     0.0,     0.0,     0.0,    28.8,    33.0,    26.6,    18.3,    44.3
Pasir Panjang,2024,2,21,     0.0,     0.0,     0.0,     0.0,    28.7,    33.1,    26.7,    18.8,    43.5
Pasir Panjang,2024,2,22,     0.2,     0.2,     0.2,     0.2,    28.4,    32.1,    26.6,    19.1,    44.6
Pasir Panjang,2024,2,23,    14.6,    10.6,    13.0,    14.6,    28.1,    32.6,    24.9,    20.6,    50.7
Pasir Panjang,2024,2,24,     0.0,     0.0,     0.0,     0.0,    28.5,    31.7,    26.6,    19.5,    48.2
Pasir Panjang,2024,2,25,     0.0,     0.0,     0.0,     0.0,    29.1,    33.7,    26.3,    22.1,    50.0
Pasir Panjang,2024,2,26,     0.0,     0.0,     0.0,     0.0,    29.0,    33.2,    26.8,    20.3,    54.1
Pasir Panjang,2024,2,27,     3.6,     3.2,     3.2,     3.6,    28.2,    30.1,    27.1,    20.0,    50.4
Pasir Panjang,2024,2,28,     0.0,     0.0,     0.0,     0.0,    28.9,    32.5,    26.9,    20.8,    52.6
Pasir Panjang,2024,2,29,     0.0,     0.0,     0.0,     0.0,    29.5,    34.0,    26.6,    20.7,    51.9
