Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Newton,2024,12,1,     0.0,     0.0,     0.0,     0.0,    28.1,    32.3,    25.5,     7.9,    32.0
Newton,2024,12,2,     0.0,     0.0,     0.0,     0.0,    27.1,    32.4,    25.7,     5.5,    25.9
Newton,2024,12,3,    20.4,     8.2,     8.8,    17.2,    27.1,    32.2,    24.6,     4.7,    29.1
Newton,2024,12,4,     0.2,     0.2,     0.4,     0.6,    27.5,    30.8,    25.3,     7.1,    29.8
Newton,2024,12,5,     0.0,     0.0,     0.0,     0.0,    28.3,    31.1,    25.6,    11.2,    47.2
Newton,2024,12,6,     0.0,     0.0,     0.0,     0.0,    29.5,    33.9,    26.2,     6.0,    30.2
Newton,2024,12,7,     0.0,     0.0,     0.0,     0.0,    29.5,    33.5,    26.3,     8.9,    40.0
Newton,2024,12,8,     0.0,     0.0,     0.0,     0.0,    28.5,    34.1,    26.3,     6.7,    40.4
Newton,2024,12,9,     1.0,     0.6,     0.8,     0.8,    25.9,    29.8,    24.2,    11.3,    49.3
Newton,2024,12,10,     0.0,     0.0,     0.0,     0.0,    26.5,    29.8,    24.6,    11.7,    43.5
Newton,2024,12,11,     0.0,     0.0,     0.0,     0.0,    28.2,    32.5,    24.9,     7.5,    32.4
Newton,2024,12,12,     0.2,     0.2,     0.2,     0.2,    27.6,    29.5,    25.6,     8.7,    34.3
Newton,2024,12,13,    19.6,    10.6,    14.6,    17.2,    26.8,    28.5,    23.7,     6.4,    35.0
Newton,2024,12,14,     0.4,     0.2,     0.2,     0.4,    28.6,    33.0,    25.7,     7.0,    29.8
Newton,2024,12,15,     0.0,     0.0,     0.0,     0.0,    28.6,    34.1,    26.6,     5.2,    27.0
Newton,2024,12,16,     6.8,     6.2,     6.2,     6.2,    27.8,    34.0,    24.6,     5.1,    40.4
Newton,2024,12,17,     0.4,     0.4,     0.4,     0.4,    27.5,    32.8,    25.6,     6.4,    30.9
Newton,2024,12,18,     0.6,     0.2,     0.4,     0.4,    25.8,    27.0,    25.0,     7.7,    42.0
Newton,2024,12,19,     0.0,     0.0,     0.0,     0.0,    26.7,    28.8,    24.8,     8.5,    38.2
Newton,2024,12,20,     0.6,     0.6,     0.6,     0.6,    26.7,    29.6,    24.8,     8.0,    41.9
Newton,2024,12,21,     1.6,     1.6,     1.6,     1.6,    27.1,    32.1,    25.4,     7.0,    33.2
Newton,2024,12,22,     0.0,     0.0,     0.0,     0.0,    27.5,    32.7,    25.7,     7.5,    34.6
Newton,2024,12,23,    46.8,    13.8,    15.8,    17.4,    26.3,    31.4,    23.7,     6.2,    28.2
Newton,2024,12,24,     2.2,     1.0,     1.4,     5.6,    26.2,    31.7,    23.9,     5.4,    31.7
Newton,2024,12,25,     0.0,     0.0,     0.0,     0.0,    27.3,    31.6,    25.2,     6.7,    30.9
Newton,2024,12,26,     0.0,     0.0,     0.0,     0.0,    27.3,    31.8,    25.1,     4.8,    22.6
Newton,2024,12,27,     0.0,     0.0,     0.0,     0.0,    27.8,    32.7,    25.9,     5.3,    25.9
Newton,2024,12,28,     0.0,     0.0,     0.0,     0.0,    28.0,    32.2,    25.8,     7.0,    30.6
Newton,2024,12,29,   122.2,    42.6,    67.6,   117.2,    27.0,    32.4,    22.2,     7.0,    53.7
Newton,2024,12,30,     4.2,     2.0,     2.0,     2.0,    26.0,    31.6,    23.0,     6.5,    35.2
Newton,2024,12,31,     6.2,     2.6,     3.8,     4.6,    26.6,    32.2,    24.0,     6.2,    31.7
