Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2024,7,1,    27.6,    21.4,    27.4,    27.4,    27.9,    31.8,    24.1,     8.9,    37.4
Pasir Panjang,2024,7,2,    21.0,    19.8,    19.8,    20.2,    29.2,    31.2,    26.3,-,    28.9
Pasir Panjang,2024,7,3,     1.2,     1.2,     1.2,     1.2,    29.6,    31.1,    28.3,    13.0,    35.2
Pasir Panjang,2024,7,4,     0.0,     0.0,     0.0,     0.0,    29.4,    31.4,    28.1,    15.4,    45.4
Pasir Panjang,2024,7,5,     9.2,     8.4,     9.0,     9.2,    29.0,    32.1,    23.0,     9.5,    42.0
Pasir Panjang,2024,7,6,     0.2,     0.2,     0.2,     0.2,    28.6,    30.6,    27.0,    12.4,    30.9
Pasir Panjang,2024,7,7,    27.4,    13.8,    21.2,    24.8,    28.2,    30.2,    24.6,    11.3,    46.1
Pasir Panjang,2024,7,8,     4.2,     1.2,     1.8,     2.0,    27.3,    28.8,    25.7,    13.7,    45.4
Pasir Panjang,2024,7,9,     6.0,     4.0,     6.0,     6.0,    28.3,    29.7,    26.4,    13.9,    43.5
Pasir Panjang,2024,7,10,     0.4,     0.2,     0.4,     0.4,    28.6,    30.1,    26.8,    13.5,    35.0
Pasir Panjang,2024,7,11,     0.0,     0.0,     0.0,     0.0,    29.2,    31.4,    28.0,    17.0,    43.2
Pasir Panjang,2024,7,12,     0.4,     0.2,     0.2,     0.4,    28.4,    31.8,    26.2,    13.1,    38.2
Pasir Panjang,2024,7,13,     0.0,     0.0,     0.0,     0.0,    29.4,    31.7,    26.9,    15.2,    37.0
Pasir Panjang,2024,7,14,     5.4,     5.4,     5.4,     5.4,    29.5,    31.7,    26.2,    16.5,    48.2
Pasir Panjang,2024,7,15,     0.0,     0.0,     0.0,     0.0,    29.9,    32.3,    28.6,    15.8,    38.9
Pasir Panjang,2024,7,16,     0.0,     0.0,     0.0,     0.0,    29.7,    32.2,    28.5,    16.8,    33.9
Pasir Panjang,2024,7,17,-,-,-,-,    29.7,    31.4,    28.5,    13.6,    32.8
Pasir Panjang,2024,7,18,     0.0,     0.0,     0.0,     0.0,    30.0,    32.8,    28.6,    11.8,    31.7
Pasir Panjang,2024,7,19,     0.0,     0.0,     0.0,     0.0,    30.0,    31.9,    28.9,    11.3,    27.4
Pasir Panjang,2024,7,20,     0.0,     0.0,     0.0,     0.0,    30.2,    33.7,    28.8,    11.4,    28.5
Pasir Panjang,2024,7,21,     0.0,     0.0,     0.0,     0.0,    30.0,    31.9,    28.9,    12.0,    30.2
Pasir Panjang,2024,7,22,     0.0,     0.0,     0.0,     0.0,    30.1,    32.6,    28.8,    12.4,    30.6
Pasir Panjang,2024,7,23,     0.0,     0.0,     0.0,     0.0,    30.1,    33.2,    28.8,    10.8,    35.9
Pasir Panjang,2024,7,24,     0.0,     0.0,     0.0,     0.0,    30.1,    32.7,    28.7,    10.6,    29.4
Pasir Panjang,2024,7,25,     0.0,     0.0,     0.0,     0.0,    30.1,    32.6,    28.6,    11.4,    40.4
Pasir Panjang,2024,7,26,     0.0,     0.0,     0.0,     0.0,    30.0,    32.7,    28.5,    13.5,    29.1
Pasir Panjang,2024,7,27,     0.0,     0.0,     0.0,     0.0,    30.2,    33.3,    28.6,    13.2,    32.4
Pasir Panjang,2024,7,28,     0.0,     0.0,     0.0,     0.0,    30.2,    33.2,    28.8,    13.6,    31.3
Pasir Panjang,2024,7,29,     0.0,     0.0,     0.0,     0.0,    30.1,    32.8,    28.8,    13.2,    30.9
Pasir Panjang,2024,7,30,     0.0,     0.0,     0.0,     0.0,    30.2,    33.5,    28.7,    12.8,    29.4
Pasir Panjang,2024,7,31,    42.4,    35.6,    42.4,    42.4,    28.7,    32.3,    23.4,    10.7,    37.0
