Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ang Mo Kio,2024,12,1,     0.0,     0.0,     0.0,     0.0,    28.7,    33.2,    25.8,     6.1,    28.5
Ang Mo Kio,2024,12,2,     3.6,     3.4,     3.6,     3.6,    27.8,    32.8,    25.6,     4.2,    28.2
Ang Mo Kio,2024,12,3,    24.2,    10.2,    16.4,    21.4,    27.5,    32.5,    24.3,     4.3,    23.0
Ang Mo Kio,2024,12,4,     0.0,     0.0,     0.2,     0.4,    28.0,    31.7,    25.5,     4.9,    23.7
Ang Mo Kio,2024,12,5,     0.0,     0.0,     0.0,     0.0,    29.1,    33.1,    25.8,     6.7,    40.4
Ang Mo Kio,2024,12,6,     0.0,     0.0,     0.0,     0.0,    29.8,    35.1,    26.3,     5.9,    27.0
Ang Mo Kio,2024,12,7,     0.0,     0.0,     0.0,     0.0,    30.0,    34.9,    26.4,     7.0,    38.5
Ang Mo Kio,2024,12,8,     1.8,     1.6,     1.6,     1.6,    28.3,    33.8,    26.4,     6.6,    34.6
Ang Mo Kio,2024,12,9,     2.8,     1.2,     1.4,     1.4,    26.6,    30.6,    24.7,     7.9,    37.0
Ang Mo Kio,2024,12,10,     0.0,     0.0,     0.0,     0.0,    27.3,    30.6,    25.0,     7.1,    40.7
Ang Mo Kio,2024,12,11,     4.6,     3.8,     4.2,     4.4,    28.5,    34.1,    24.6,     5.6,    30.9
Ang Mo Kio,2024,12,12,     0.2,     0.2,     0.2,     0.2,    28.2,    31.0,    26.2,     5.7,    25.6
Ang Mo Kio,2024,12,13,    11.4,     7.2,    10.4,    11.4,    27.2,    28.8,    23.9,     5.1,    40.4
Ang Mo Kio,2024,12,14,     0.2,     0.2,     0.2,     0.2,    28.9,    34.0,    26.0,     6.0,    32.4
Ang Mo Kio,2024,12,15,     0.0,     0.0,     0.0,     0.0,    28.6,    34.2,    26.5,     4.7,    26.3
Ang Mo Kio,2024,12,16,    10.4,     9.4,     9.8,    10.0,    27.3,    33.1,    23.9,     5.3,    33.9
Ang Mo Kio,2024,12,17,     1.4,     0.8,     0.8,     0.8,    27.4,    32.2,    25.5,     6.3,    31.3
Ang Mo Kio,2024,12,18,     4.6,     3.8,     4.2,     4.4,    26.1,    27.8,    25.2,     6.2,    30.2
Ang Mo Kio,2024,12,19,     0.0,     0.0,     0.0,     0.0,    27.0,    29.2,    25.0,     7.4,    32.0
Ang Mo Kio,2024,12,20,     0.0,     0.0,     0.0,     0.0,    26.8,    29.7,    24.9,     9.0,    35.6
Ang Mo Kio,2024,12,21,     0.4,     0.4,     0.4,     0.4,    27.3,    31.3,    25.5,     8.1,    35.6
Ang Mo Kio,2024,12,22,     0.0,     0.0,     0.0,     0.0,    27.6,    31.5,    25.9,     8.9,    33.9
Ang Mo Kio,2024,12,23,    17.4,     4.0,     4.6,     7.4,    26.7,    31.1,    24.4,     6.7,    29.1
Ang Mo Kio,2024,12,24,    18.6,     9.0,     9.4,     9.4,    26.1,    31.0,    24.3,     6.1,    27.8
Ang Mo Kio,2024,12,25,     0.0,     0.0,     0.0,     0.0,    27.2,    31.4,    25.2,     6.7,    28.5
Ang Mo Kio,2024,12,26,     0.0,     0.0,     0.0,     0.0,    27.4,    30.8,    25.4,     4.8,    20.2
Ang Mo Kio,2024,12,27,     1.8,     1.6,     1.6,     1.6,    27.8,    33.1,    25.8,     5.8,    27.8
Ang Mo Kio,2024,12,28,     0.0,     0.0,     0.0,     0.0,    28.0,    31.9,    25.4,     8.1,    30.2
Ang Mo Kio,2024,12,29,    35.8,    32.4,    33.4,    35.2,    27.2,    31.9,    23.8,     7.0,    41.9
Ang Mo Kio,2024,12,30,     6.8,     2.4,     3.4,     4.4,    26.1,    30.1,    23.5,     6.8,    30.9
Ang Mo Kio,2024,12,31,    28.2,    20.6,    26.8,    27.4,    26.7,    31.4,    23.9,     6.6,    33.5
