Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2024,12,1,0,0,0,0,-,-,-,7.8,30.2
Marina Barrage,2024,12,2,0,0,0,0,-,-,-,6.9,23
Marina Barrage,2024,12,3,3.2,1.2,1.6,2.2,-,-,-,6,25.2
Marina Barrage,2024,12,4,0.2,0.2,0.2,0.6,-,-,-,5.3,25.6
Marina Barrage,2024,12,5,0,0,0,0,-,-,-,7.5,40
Marina Barrage,2024,12,6,0,0,0,0,-,-,-,7.2,27.4
Marina Barrage,2024,12,7,0,0,0,0,-,-,-,8.9,36.3
Marina Barrage,2024,12,8,0,0,0,0,-,-,-,11.7,35.6
Marina Barrage,2024,12,9,0.6,0.4,0.6,0.6,-,-,-,10.2,38.2
Marina Barrage,2024,12,10,0,0,0,0,-,-,-,9.7,37.4
Marina Barrage,2024,12,11,0,0,0,0,-,-,-,6.8,28.9
Marina Barrage,2024,12,12,4,3.6,3.6,3.6,-,-,-,6.1,37
Marina Barrage,2024,12,13,34.8,29,32,33.8,-,-,-,6,54.1
Marina Barrage,2024,12,14,0.2,0.2,0.2,0.2,-,-,-,7.7,27.8
Marina Barrage,2024,12,15,0,0,0,0,-,-,-,5.7,23.3
Marina Barrage,2024,12,16,11,6.2,7,10,-,-,-,8.2,33.5
Marina Barrage,2024,12,17,0.6,0.2,0.4,0.4,-,-,-,10.2,33.5
Marina Barrage,2024,12,18,0.6,0.6,0.6,0.6,-,-,-,12,38.9
Marina Barrage,2024,12,19,0,0,0,0,-,-,-,12.7,40
Marina Barrage,2024,12,20,0.8,0.6,0.6,0.6,-,-,-,13.3,40
Marina Barrage,2024,12,21,2.4,2,2,2.2,-,-,-,10.7,38.2
Marina Barrage,2024,12,22,0.6,0.6,0.6,0.6,-,-,-,10.9,33.2
Marina Barrage,2024,12,23,48.6,18,18.2,21,-,-,-,7.7,30.9
Marina Barrage,2024,12,24,4.8,3,3.4,4.8,-,-,-,7.1,28.5
Marina Barrage,2024,12,25,0.6,0.4,0.4,0.6,-,-,-,10.1,28.2
Marina Barrage,2024,12,26,1,1,1,1,-,-,-,5.9,21.3
Marina Barrage,2024,12,27,0,0,0,0,-,-,-,6.6,26.7
Marina Barrage,2024,12,28,0,0,0,0,-,-,-,10.7,32.8
Marina Barrage,2024,12,29,99.4,36.8,63.6,92.6,-,-,-,8.8,59.1
Marina Barrage,2024,12,30,11.8,6,9.4,10.2,-,-,-,9.4,44.3
Marina Barrage,2024,12,31,9,6.2,7.8,8.2,-,-,-,9.1,29.8
