Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2024,8,1,0,0,0,0,-,-,-,4.6,25.9
Marina Barrage,2024,8,2,0,0,0,0,-,-,-,3.4,21.7
Marina Barrage,2024,8,3,0,0,0,0,-,-,-,4.4,26.3
Marina Barrage,2024,8,4,26.4,13.2,13.6,14,-,-,-,5.9,35.2
Marina Barrage,2024,8,5,0,0,0,0,-,-,-,4.8,30.2
Marina Barrage,2024,8,6,0,0,0,0,-,-,-,5.6,26.7
Marina Barrage,2024,8,7,0,0,0,0,-,-,-,4.6,38.2
Marina Barrage,2024,8,8,1.6,1.2,1.6,1.6,-,-,-,4.9,22.6
Marina Barrage,2024,8,9,13,11,11,11.4,-,-,-,4.6,33.2
Marina Barrage,2024,8,10,4.8,3.2,3.4,3.8,-,-,-,5.1,38.5
Marina Barrage,2024,8,11,1.6,1,1.4,1.4,-,-,-,7,36.7
Marina Barrage,2024,8,12,0,0,0,0,-,-,-,6,20.9
Marina Barrage,2024,8,13,0,0,0,0,-,-,-,5,24.4
Marina Barrage,2024,8,14,8,1.6,3,5.6,-,-,-,4.4,30.2
Marina Barrage,2024,8,15,0.2,0.2,0.2,0.2,-,-,-,3.4,25.6
Marina Barrage,2024,8,16,0,0,0,0,-,-,-,4.3,37
Marina Barrage,2024,8,17,-,-,-,-,-,-,-,4.2,28.5
Marina Barrage,2024,8,18,0,-,-,-,-,-,-,4.3,24.8
Marina Barrage,2024,8,19,0.2,0.2,0.2,0.2,-,-,-,3.3,22.4
Marina Barrage,2024,8,20,0,0,0,0,-,-,-,4,32.8
Marina Barrage,2024,8,21,0.2,0.2,0.2,0.2,-,-,-,5,26.7
Marina Barrage,2024,8,22,0,0,0,0,-,-,-,4.2,22.4
Marina Barrage,2024,8,23,0,0,0,0,-,-,-,4.5,27.8
Marina Barrage,2024,8,24,-,-,-,-,-,-,-,7.5,41.5
Marina Barrage,2024,8,25,-,-,-,-,-,-,-,5.4,44.3
Marina Barrage,2024,8,26,0,-,-,-,-,-,-,6.1,23.3
Marina Barrage,2024,8,27,-,-,-,-,-,-,-,6.3,43.9
Marina Barrage,2024,8,28,-,-,-,-,-,-,-,7.9,36.7
Marina Barrage,2024,8,29,0,-,-,-,-,-,-,7.2,32
Marina Barrage,2024,8,30,0,0,0,0,-,-,-,7.1,27
Marina Barrage,2024,8,31,0,0,0,0,-,-,-,7.2,32
