Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2024,11,1,1.2,1,1,1.2,-,-,-,6.6,35.2
Marina Barrage,2024,11,2,1.6,0.6,0.8,1,-,-,-,5.2,37.8
Marina Barrage,2024,11,3,5.2,5,5,5,-,-,-,5,38.5
Marina Barrage,2024,11,4,3.8,2.2,2.8,3.4,-,-,-,5.2,33.2
Marina Barrage,2024,11,5,0,0,0,0,-,-,-,4.7,29.8
Marina Barrage,2024,11,6,3.2,2.4,3,3.2,-,-,-,6.6,34.3
Marina Barrage,2024,11,7,0,0,0,0,-,-,-,6.8,29.4
Marina Barrage,2024,11,8,17,10,11.6,13.4,-,-,-,5.9,36.3
Marina Barrage,2024,11,9,0.8,0.8,0.8,0.8,-,-,-,3.6,34.6
Marina Barrage,2024,11,10,33.2,25.4,31,32.6,-,-,-,7.2,65.2
Marina Barrage,2024,11,11,0,0.2,0.2,0.4,-,-,-,4.2,32.4
Marina Barrage,2024,11,12,1,1,1,1,-,-,-,6.4,28.5
Marina Barrage,2024,11,13,14.6,8.2,10.8,14.4,-,-,-,5.2,32.8
Marina Barrage,2024,11,14,0,0,0,0,-,-,-,4.3,22.6
Marina Barrage,2024,11,15,0,0,0,0,-,-,-,5.3,21.7
Marina Barrage,2024,11,16,9.6,4.8,6.2,9,-,-,-,5.2,23.3
Marina Barrage,2024,11,17,59.8,47.6,59,59.8,-,-,-,6.5,33.2
Marina Barrage,2024,11,18,1.4,1,1,1,-,-,-,7.4,33.5
Marina Barrage,2024,11,19,4.8,2,3.4,4.4,-,-,-,6.1,22.4
Marina Barrage,2024,11,20,0,0,0,0,-,-,-,8.1,24.8
Marina Barrage,2024,11,21,0.2,0.2,0.2,0.2,-,-,-,4.7,23.7
Marina Barrage,2024,11,22,12.4,4.8,7.2,8.4,-,-,-,6.6,28.9
Marina Barrage,2024,11,23,0.6,0.4,0.6,1.2,-,-,-,6.5,26.7
Marina Barrage,2024,11,24,13.8,11.8,13.8,13.8,-,-,-,4.8,29.8
Marina Barrage,2024,11,25,0.2,0.2,0.2,0.2,-,-,-,4.3,21.7
Marina Barrage,2024,11,26,19.8,9.4,13.2,15.4,-,-,-,5.5,24.1
Marina Barrage,2024,11,27,7.8,2,3,5,-,-,-,6.4,30.9
Marina Barrage,2024,11,28,5,3,3.2,3.2,-,-,-,4.2,20.6
Marina Barrage,2024,11,29,26.2,11.2,12.6,14.6,-,-,-,5.2,32.4
Marina Barrage,2024,11,30,0,0,0,0,-,-,-,6,23
