Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2024,2,1,0,0,0,0,-,-,-,11,32.8
Marina Barrage,2024,2,2,10,9.6,9.6,9.8,-,-,-,9.2,35.2
Marina Barrage,2024,2,3,22.4,21.4,22.4,22.4,-,-,-,9.3,40.7
Marina Barrage,2024,2,4,0,0,0,0,-,-,-,9.2,30.2
Marina Barrage,2024,2,5,0,0,0,0,-,-,-,10.3,32.8
Marina Barrage,2024,2,6,0,0,0,0,-,-,-,8,26.7
Marina Barrage,2024,2,7,0,0,0,0,-,-,-,10,30.2
Marina Barrage,2024,2,8,3.8,3.4,3.8,3.8,-,-,-,6.7,23.3
Marina Barrage,2024,2,9,22.4,19.4,20.4,22.4,-,-,-,8.4,28.5
Marina Barrage,2024,2,10,10.2,5.4,8,9.4,-,-,-,11.4,70.2
Marina Barrage,2024,2,11,8.2,7.2,8,8.2,-,-,-,11.6,42.8
Marina Barrage,2024,2,12,8,3,3,8.4,-,-,-,11.9,42.4
Marina Barrage,2024,2,13,10.4,9.6,10,10,-,-,-,13.4,38.9
Marina Barrage,2024,2,14,0,0,0,0,-,-,-,10.4,37.8
Marina Barrage,2024,2,15,5.6,3.8,4,4.4,-,-,-,12.5,38.2
Marina Barrage,2024,2,16,0,0,0,0,-,-,-,12.3,48.5
Marina Barrage,2024,2,17,0,0,0,0,-,-,-,10.2,39.6
Marina Barrage,2024,2,18,0,0,0,0,-,-,-,9.3,29.4
Marina Barrage,2024,2,19,0,0,0,0,-,-,-,9.7,30.2
Marina Barrage,2024,2,20,0,0,0,0,-,-,-,8.5,26.7
Marina Barrage,2024,2,21,0,0,0,0,-,-,-,7.6,26.7
Marina Barrage,2024,2,22,1.8,1.8,1.8,1.8,-,-,-,6.2,22.6
Marina Barrage,2024,2,23,0,0,0,0,-,-,-,9.6,29.8
Marina Barrage,2024,2,24,0,0,0,0,-,-,-,9.7,36.7
Marina Barrage,2024,2,25,0,0,0,0,-,-,-,10.6,32
Marina Barrage,2024,2,26,0,0,0,0,-,-,-,12,37
Marina Barrage,2024,2,27,1,1,1,1,-,-,-,10.3,38.2
Marina Barrage,2024,2,28,0,0,0,0,-,-,-,12.6,41.1
Marina Barrage,2024,2,29,0,0,0,0,-,-,-,12.9,36.7
