Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2024,5,1,0,0,0,0,-,-,-,4.9,24.8
Marina Barrage,2024,5,2,0,0,0,0,-,-,-,4.3,24.8
Marina Barrage,2024,5,3,0,0,0,0,-,-,-,4.3,25.2
Marina Barrage,2024,5,4,75.4,34,40.8,51.6,-,-,-,5.2,30.2
Marina Barrage,2024,5,5,0,0,0,0,-,-,-,6.3,22
Marina Barrage,2024,5,6,0,0,0,0,-,-,-,3.6,20.9
Marina Barrage,2024,5,7,0,0,0,0,-,-,-,3.8,23.7
Marina Barrage,2024,5,8,13,7.8,9,11.8,-,-,-,3.8,27
Marina Barrage,2024,5,9,0,0,0.2,0.2,-,-,-,3.4,17.2
Marina Barrage,2024,5,10,0.4,0.4,0.4,0.4,-,-,-,3.7,32.4
Marina Barrage,2024,5,11,0,0,0,0,-,-,-,3.8,24.4
Marina Barrage,2024,5,12,0,0,0,0,-,-,-,4.5,25.9
Marina Barrage,2024,5,13,0.6,0.4,0.4,0.4,-,-,-,4.7,27.8
Marina Barrage,2024,5,14,2.2,1.6,2.2,2.2,-,-,-,5.4,55.4
Marina Barrage,2024,5,15,0,0,0,0,-,-,-,5.6,31.7
Marina Barrage,2024,5,16,31.6,15.2,18.8,20.4,-,-,-,5.2,29.8
Marina Barrage,2024,5,17,0,0,0,0,-,-,-,5.4,19.1
Marina Barrage,2024,5,18,1.2,0.6,1.2,1.2,-,-,-,3.3,28.9
Marina Barrage,2024,5,19,5,3.4,4.2,4.6,-,-,-,6,27.4
Marina Barrage,2024,5,20,0.6,0.6,0.6,0.6,-,-,-,5.9,35
Marina Barrage,2024,5,21,0,0,0,0,-,-,-,5.6,24.1
Marina Barrage,2024,5,22,0.6,0.6,0.6,0.6,-,-,-,4.2,26.3
Marina Barrage,2024,5,23,0.8,0.6,0.6,0.8,-,-,-,4.8,31.7
Marina Barrage,2024,5,24,1.4,0.6,1,1.4,-,-,-,5,25.2
Marina Barrage,2024,5,25,6,2.8,3.4,4.4,-,-,-,3.8,24.4
Marina Barrage,2024,5,26,0,0,0,0,-,-,-,4.2,17.6
Marina Barrage,2024,5,27,0.6,0.4,0.4,0.4,-,-,-,5.5,24.4
Marina Barrage,2024,5,28,2.8,2.6,2.6,2.8,-,-,-,4.9,28.9
Marina Barrage,2024,5,29,0,0,0,0,-,-,-,4.5,20.2
Marina Barrage,2024,5,30,1.4,1.2,1.2,1.4,-,-,-,6.4,38.5
Marina Barrage,2024,5,31,0,0,0,0,-,-,-,3.4,18.3
