Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2025,1,1,2,1.6,1.8,2,-,-,-,8.4,27
Marina Barrage,2025,1,2,0,0,0,0,-,-,-,9.6,28.5
Marina Barrage,2025,1,3,4.6,4.4,4.6,4.6,-,-,-,8.8,32
Marina Barrage,2025,1,4,0.2,0.2,0.2,0.2,-,-,-,11.3,37.4
Marina Barrage,2025,1,5,1,1,1,1,-,-,-,12.8,40.4
Marina Barrage,2025,1,6,0.6,0.6,0.6,0.6,-,-,-,12.4,34.3
Marina Barrage,2025,1,7,0,0,0,0,-,-,-,11,32.8
Marina Barrage,2025,1,8,0,0,0,0,-,-,-,12.3,40
Marina Barrage,2025,1,9,0,0,0,0,-,-,-,15.3,37.8
Marina Barrage,2025,1,10,102.4,10.2,17,28,-,-,-,9.7,29.4
Marina Barrage,2025,1,11,82.2,15.6,19.8,23.4,-,-,-,10.2,34.3
Marina Barrage,2025,1,12,54.8,13.4,15.8,18.4,-,-,-,13.6,48.5
Marina Barrage,2025,1,13,78,16.4,26.2,44.2,-,-,-,9.3,30.6
Marina Barrage,2025,1,14,9.2,3,3.6,3.8,-,-,-,10.4,32.4
Marina Barrage,2025,1,15,13.4,10.4,12.2,13.2,-,-,-,5.6,25.6
Marina Barrage,2025,1,16,0.2,0.2,0.2,0.2,-,-,-,12.3,41.9
Marina Barrage,2025,1,17,1.2,0.6,0.6,0.6,-,-,-,15,45
Marina Barrage,2025,1,18,3.2,2.2,2.6,2.6,-,-,-,14.9,42.4
Marina Barrage,2025,1,19,11,3.4,5.2,5.2,-,-,-,9.5,33.2
Marina Barrage,2025,1,20,0,0,0,0,-,-,-,13.4,36.3
Marina Barrage,2025,1,21,0.8,0.2,0.2,0.4,-,-,-,13.6,39.3
Marina Barrage,2025,1,22,0.2,0.2,0.2,0.2,-,-,-,9.1,30.2
Marina Barrage,2025,1,23,1.4,1,1,1,-,-,-,9.3,23.7
Marina Barrage,2025,1,24,3.8,1,1.4,2.4,-,-,-,6.8,24.8
Marina Barrage,2025,1,25,0.4,0.4,0.4,0.4,-,-,-,5.7,20.9
Marina Barrage,2025,1,26,14.8,12.2,12.4,12.8,-,-,-,5.2,25.9
Marina Barrage,2025,1,27,8.4,1.4,2,3.2,-,-,-,9.3,35.9
Marina Barrage,2025,1,28,0.8,0.6,0.6,0.6,-,-,-,11.9,45
Marina Barrage,2025,1,29,0,0,0,0,-,-,-,14.1,44.3
Marina Barrage,2025,1,30,0,0,0,0,-,-,-,13.1,37.8
Marina Barrage,2025,1,31,0,0,0,0,-,-,-,15,34.6
